,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
0,Baxter Healthcare Corporation,Opelika,09/27/2023,11/30/2023,459.0,Closure
1,Help at Home,Clayton,09/01/2023,11/04/2023,785.0,Closure
2,Parkdale  Inc,Leesburg,08/15/2023,10/14/2023,76.0,Closure
3,Yellow Corporation,Birmingham,08/01/2023,07/30/2023,200.0,Closure
4,Community Development Institute Head Start,Birmingham,08/02/2023,09/30/2023,126.0,Layoff
5,SiO2 Medical Products Inc,Auburn,07/31/2023,07/30/2023,104.0,Layoff
6,Unifi Aviation  LLC,Mobile,07/14/2023,07/03/2023,62.0,Layoff
7,National Copper & Smelting Co,Huntsville,06/01/2023,07/24/2023,86.0,Closure
8,Packers Sanitation Services  Inc,Guntersville,05/22/2023,07/08/2023,74.0,Layoff
9,Showa Best Glove  Inc,Fayette,05/24/2023,07/28/2023,128.0,Layoff
10,David's Bridal,Birmingham,05/23/2023,06/23/2023,40.0,Layoff
11,The Fishel Company,Mobile,05/19/2023,05/10/2023,17.0,Layoff
12,Packers Sanitation Services  Inc,Valley,05/19/2023,05/31/2023,102.0,Layoff
13,Nielsen & Bainbridge  LLC,Selma,05/11/2023,05/19/2023,157.0,Closure
14,Utz Quality Foods LLC,Birmingham,04/26/2023,07/03/2023,175.0,Layoff
15,Luxor Scientific,Birmingham,04/11/2023,06/06/2023,166.0,Closure
16,Logistics Insight Corp,Vance,03/29/2023,05/26/2023,122.0,Layoff
17,Logistics Insight Corp,Cottondale,03/29/2023,05/26/2023,37.0,Layoff
18,Whole Earth Brands,Decatur,03/10/2023,06/30/2023,85.0,Closure
19,Packers Sanitation Services  Inc,Eufaula,02/21/2023,03/09/2023,157.0,Layoff
20,TDG Operations LLC,Atmore,02/08/2023,04/27/2023,113.0,Closure
21,CVS AL Distribution  LLC,Bessemer,02/07/2023,04/23/2023,295.0,Closure
22,SNL Distribution Services Corporation,Birmingham,02/02/2023,03/31/2023,51.0,Closure
23,Thorsby Engineered Wood Products,Thorsby,01/17/2023,03/07/2023,200.0,Layoff
24,Advanced Drainage Systems. Inc.,Montgomery,01/25/2023,03/18/2023,59.0,Closure
25,Railcrew Xpress,Birmingham,01/17/2023,02/20/2023,85.0,Closure
26,Wheel Pros,Auburn,01/09/2023,03/07/2023,224.0,Layoff
27,Sunrise Community of Alabama  Inc,Tuscaloosa,12/13/2022,03/03/2023,76.0,Closure
28,AT&T Alabama,Birmingham,12/13/2022,01/16/2023,23.0,Layoff
29,Parkdale Mills,Alexander City,06/08/2022,07/24/2022,113.0,Closure
30,FIS,Birmingham,05/03/2022,06/30/2022,214.0,Layoff
31,Nektar Therapeutics,Huntsville,04/29/2022,06/26/2022,72.0,Layoff
32,Sodexo  Inc.,Birmingham,04/28/2022,05/31/2022,147.0,Closure
33,LG Electronics USA,Huntsville,02/28/2022,05/10/2022,160.0,Closure
34,Decatur Plastic Products,Gadsden,01/26/2022,04/01/2022,75.0,Closure
35,Keystone Foods/Tyson Foods,Huntsville,01/20/2022,03/25/2022,58.0,Closure
36,Primus Solutions. LLC,Daleville,07/28/2021,09/16/2021,132.0,Layoff
37,Corsicana Mattress Company,Jasper,07/26/2021,09/20/2021,42.0,Closure
38,Portfolio Recovery Associates  LLC,Birmingham,07/20/2021,09/30/2021,133.0,Closure
39,Crothall Healthcare Environmental Services,Gadsden,07/07/2021,08/21/2021,58.0,Layoff
40,National Packaging Co.  Inc.,Decatur,06/30/2021,08/07/2021,62.0,Layoff
41,Eberspaecher,Northport,06/21/2021,08/17/2021,47.0,Closure
42,Imagen Brands,Mobile,01/26/2021,04/01/2021,70.0,Layoff
43,Technicolor,Huntsville,01/26/2021,06/01/2021,275.0,Closure
44,Dow Chemical Company,Mount Meigs,12/03/2020,12/31/2020,55.0,Closure
45,DRiV Automotive,Jacksonville,11/18/2020,01/22/2021,62.0,Closure
46,Standard Furniture,Bay Minette,10/26/2020,12/23/2020,87.0,Layoff
47,KBR,Birmingham,10/19/2020,12/31/2020,111.0,Layoff
48,FreightCar America,Cherokee,09/15/2020,11/09/2020,550.0,Closure
49,PowerSouth Energy COOP,Leroy,09/08/2020,10/31/2020,87.0,Layoff
50,Honeywell Aerospace,Oxford,08/20/2020,10/09/2020,136.0,Closure
51,Birmingham Shuttlesworth Airport,Birmingham,08/13/2020,10/16/2020,85.0,Layoff
52,US Space and Rocket Center,Huntsville,08/03/2020,09/30/2020,172.0,Layoff
53,Remington,Huntsville,08/03/2020,09/29/2020,234.0,Closure
54,Commercial Vehicle Group  Inc,Piedmont,07/16/2020,10/31/2020,49.0,Closure
55,Nucor,Eufaula,07/16/2020,09/11/2020,309.0,Layoff
56,Technicolor,Huntsville,07/16/2020,08/10/2020,100.0,Layoff
57,BJCC,Birmingham,07/16/2020,08/15/2020,91.0,Layoff
58,Birmingham Jeffeson Convention Complex,Birmingham,07/16/2020,08/15/2020,91.0,Layoff
59,Grede Casting,Columbiana,06/15/2020,08/10/2020,94.0,Closure
60,Greif  Inc,Mobile,06/08/2020,06/19/2020,90.0,Closure
61,Weidplas North America  LLC,Auburn,05/13/2020,05/06/2020,96.0,Closure
62,GOODYEAR,Gadsden,05/06/2020,06/28/2020,592.0,Closure
63,U.S. Steel Tubular Products,Fairfield,05/01/2020,06/14/2020,633.0,Layoff
64,"BORBET ALABAMA, INC",Auburn,04/22/2020,06/26/2020,230.0,Closure
65,GESTAMP,McCalla,04/22/2020,04/22/2020,76.0,Layoff
66,STAR AVIATION,Mobile,04/22/2020,04/22/2020,82.0,Closure
67,STANDARD FURNITURE,,04/17/2020,04/17/2020,95.0,Layoff
68,MONARCH WINDOWS & DOORS,Anniston,04/17/2020,06/15/2020,64.0,Closure
69,"HOOTERS OF AMERICA, LLC",,04/14/2020,03/20/2020,90.0,Layoff
70,CARBO CERMAICS INC,Eufaula,04/14/2020,06/06/2020,56.0,Layoff
71,RCX LOGISTICS,Theodore,02/14/2020,04/12/2020,66.0,Closure
72,GOODYEAR,Gadsden,02/11/2020,02/05/2020,105.0,Layoff
73,WAITR AND BITE SQUAD,State-Wide,02/06/2020,04/06/2020,491.0,Layoff *
74,VICTORIA'S SECRET,Decatur,02/03/2020,01/01/0001,18.0,Closure
75,FAURECIA,Tuscaloosa,01/31/2020,03/20/2020,166.0,Closure
76,"FIS MANAGEMENT SERVICES, LLC",Northport,01/24/2020,03/31/2020,102.0,Closure
77,WHOLE FOODS,Hoover,01/10/2020,03/08/2020,68.0,Closure
78,CR GIBSON,Florence,01/10/2020,01/01/0001,46.0,Closure
79,FRONTIER SPINNING MILLS,Wetumpka,10/31/2019,12/29/2019,148.0,Closing *
80,KARDOES RUBBER,LaFayette,10/18/2019,12/31/2019,86.0,Closing *
81,AMERIS BANK,Dothan,09/27/2019,12/31/2019,50.0,Layoff *
82,FLOWERS BAKING CO.,Opelika,09/17/2019,11/14/2019,146.0,Closing *
83,INFORM DIAGNOSTICS,Daphne,08/05/2019,10/01/2019,72.0,Closing *
