,company_name,location,notice_date,employees_affected,URL
0,Yellow Corporation,Phoenix,"Aug 01, 2023",0.0,https://www.azjobconnection.gov/search/warn_lookups/723
1,OLDE TOWN GRILL,Winslow,"Aug 04, 2023",18.0,https://www.azjobconnection.gov/search/warn_lookups/724
2,"LECLERC FOODS NUTRITION ARIZONA, LLC",Phoenix,"Oct 04, 2023",93.0,https://www.azjobconnection.gov/search/warn_lookups/742
3,Centerra,Multiple,"Aug 11, 2023",,https://www.azjobconnection.gov/search/warn_lookups/725
4,Mediterra Bakery,Coolidge,"Aug 17, 2023",20.0,https://www.azjobconnection.gov/search/warn_lookups/726
5,"ImmunityBio, Inc.",El Segundo,"Aug 21, 2023",1.0,https://www.azjobconnection.gov/search/warn_lookups/729
6,Nature's Medicines,Show Low,"Aug 08, 2023",18.0,https://www.azjobconnection.gov/search/warn_lookups/728
7,Transdev Services,Tempe,"Oct 20, 2023",829.0,https://www.azjobconnection.gov/search/warn_lookups/744
8,La Fonda Restaurant,Yuma,"Oct 23, 2023",20.0,https://www.azjobconnection.gov/search/warn_lookups/745
9,"COR Restaurant Services, LLC",Surprise,"Feb 02, 2023",130.0,https://www.azjobconnection.gov/search/warn_lookups/687
10,ttec,Phoenix,"Jan 09, 2023",,https://www.azjobconnection.gov/search/warn_lookups/680
11,"Cygnus Home Service, LLC",Minneapolis,"Oct 25, 2023",,https://www.azjobconnection.gov/search/warn_lookups/746
12,S & A Industries,Yuma,"Mar 24, 2023",6.0,https://www.azjobconnection.gov/search/warn_lookups/698
13,"Monitronics International, Inc., d/b/a Brinks Home",Dallas,"Jan 05, 2023",81.0,https://www.azjobconnection.gov/search/warn_lookups/678
14,"Aspiration Partners, Inc.",Marina Del Rey,"Mar 24, 2023",3.0,https://www.azjobconnection.gov/search/warn_lookups/699
15,eegee's LLC Commissary Department,Tucson,"Apr 19, 2023",44.0,https://www.azjobconnection.gov/search/warn_lookups/705
16,"Progrexion Teleservices, Inc.",Phoenix,"Apr 28, 2023",203.0,https://www.azjobconnection.gov/search/warn_lookups/706
17,Norton Environmental Inc.,Flagstaff,"May 01, 2023",9.0,https://www.azjobconnection.gov/search/warn_lookups/708
18,Tuesday Morning,Flagstaff,"May 02, 2023",13.0,https://www.azjobconnection.gov/search/warn_lookups/709
19,General Motors LLC facility (Arizona IT Innovation Center),Chandler,"Aug 23, 2023",936.0,https://www.azjobconnection.gov/search/warn_lookups/730
20,CVS Health,Scottsdale,"Aug 18, 2023",134.0,https://www.azjobconnection.gov/search/warn_lookups/727
21,North American Savings Bank,Kansas City,"Jan 05, 2023",10.0,https://www.azjobconnection.gov/search/warn_lookups/679
22,McKesson Corporation,Scottsdale,"Mar 29, 2023",252.0,https://www.azjobconnection.gov/search/warn_lookups/700
23,Honeywell,Phoenix,"Mar 31, 2023",6.0,https://www.azjobconnection.gov/search/warn_lookups/703
24,"KeHE Distributors, INC",Naperville,"Aug 23, 2023",,https://www.azjobconnection.gov/search/warn_lookups/731
25,"Lucid USA, Inc.",Casa Grande,"Mar 31, 2023",968.0,https://www.azjobconnection.gov/search/warn_lookups/702
26,Michael Foods,Yuma,"Apr 04, 2023",20.0,https://www.azjobconnection.gov/search/warn_lookups/704
27,Sion Power Corporation,Tucson,"Mar 30, 2023",14.0,https://www.azjobconnection.gov/search/warn_lookups/701
28,"Specialized Bicycle Components, Inc.",Morgan Hill,"Jan 11, 2023",1.0,https://www.azjobconnection.gov/search/warn_lookups/681
29,State Farm Mutual Automobile Insurance Company,Tempe,"Jan 24, 2023",186.0,https://www.azjobconnection.gov/search/warn_lookups/682
30,The CLUB for YOUth,Kingman,"May 01, 2023",12.0,https://www.azjobconnection.gov/search/warn_lookups/707
31,Solari Crisis and Human Services,Tempe,"Jan 27, 2023",27.0,https://www.azjobconnection.gov/search/warn_lookups/684
32,ttec,Tempe,"Jan 30, 2023",308.0,https://www.azjobconnection.gov/search/warn_lookups/685
33,NextCare Urgent Care,Yuma,"Feb 01, 2023",12.0,https://www.azjobconnection.gov/search/warn_lookups/686
34,"UPS Supply Chain Solutions, Inc.",Goodyear,"Feb 02, 2023",98.0,https://www.azjobconnection.gov/search/warn_lookups/688
35,"Vitacost, Inc.",Tempe,"Feb 06, 2023",57.0,https://www.azjobconnection.gov/search/warn_lookups/689
36,"Critical Ideas, Inc. dba Chipper Cash",San Francisco,"Feb 16, 2023",,https://www.azjobconnection.gov/search/warn_lookups/690
