,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
0,"David&rsquo;s Bridal, LLC",Contra Costa County,04/25/2023,09/02/2023,29,Layoff Permanent
1,"David&rsquo;s Bridal, LLC",Fresno County,04/25/2023,09/02/2023,31,Layoff Permanent
2,"David&rsquo;s Bridal, LLC",Placer County,04/25/2023,09/02/2023,47,Layoff Permanent
3,"David&rsquo;s Bridal, LLC",San Diego County,04/25/2023,09/02/2023,29,Layoff Permanent
4,"David&rsquo;s Bridal, LLC",San Diego County,04/25/2023,09/02/2023,35,Layoff Permanent
5,"David&rsquo;s Bridal, LLC",Los Angeles County,04/25/2023,09/02/2023,35,Layoff Permanent
6,"David&rsquo;s Bridal, LLC",Kern County,04/25/2023,09/02/2023,27,Layoff Permanent
7,Rico Corp. dba D'Addario Woodwinds,Los Angeles County,06/07/2023,08/07/2023,1,Closure Permanent
8,"David's Bridal, LLC",Butte County,04/25/2023,09/02/2023,18,Layoff Permanent
9,"David's Bridal, LLC",Riverside County,04/25/2023,09/02/2023,27,Layoff Permanent
10,"David's Bridal, LLC",Riverside County,04/25/2023,09/02/2023,34,Layoff Permanent
11,"David's Bridal, LLC",Sacramento County,04/25/2023,09/02/2023,46,Layoff Permanent
12,"David&rsquo;s Bridal, LLC",Santa Clara County,04/25/2023,09/02/2023,38,Layoff Permanent
13,"David's Bridal, LLC",Stanislaus County,04/25/2023,09/02/2023,40,Layoff Permanent
14,Nestle USA,Stanislaus County,06/07/2023,08/07/2023,75,Layoff Temporary
15,"Sodexo, Inc. and Affiliates at Beverly Hospital",Los Angeles County,06/07/2023,08/04/2023,68,Layoff Permanent
16,Primary Health,San Francisco County,06/06/2023,06/06/2023,60,Layoff Permanent
17,Los Angeles Times Communications LLC,Los Angeles County,06/07/2023,08/14/2023,57,Layoff Permanent
18,Los Angeles Times Communications LLC,Los Angeles County,06/07/2023,08/14/2023,15,Layoff Permanent
19,HMSHost,Fresno County,06/09/2023,08/15/2023,69,Closure Permanent
20,Microsoft,Santa Clara County,06/05/2023,08/04/2023,2,Layoff Permanent
21,Rico Corp. dba D'Addario Woodwinds,Los Angeles County,07/07/2023,09/08/2023,4,Layoff Permanent
22,Henry Mayo Newhall Hospital,Los Angeles County,06/12/2023,08/12/2023,107,Layoff Permanent
23,"Sumo Logic, Inc.",San Mateo County,06/07/2023,06/08/2023,79,Layoff Permanent
24,Monte Nido & Affiliates,Orange County,06/13/2023,06/30/2023,6,Closure Permanent
25,La Tortilla Factory,San Diego County,06/12/2023,07/29/2023,5,Closure Permanent
26,Intel Corporation,Santa Clara County,06/05/2023,05/31/2023,78,Layoff Permanent
27,"Tropitone Furniture Company, Inc.",Riverside County,06/15/2023,09/01/2023,3,Closure Permanent
28,"Tropitone Furniture Company, Inc.",Riverside County,06/15/2023,12/01/2023,3,Closure Permanent
29,"Tropitone Furniture Company, Inc.",Riverside County,06/15/2023,12/31/2023,2,Closure Permanent
30,SK hynix NAND Product Solutions Corp. dba Solidigm,Sacramento County,06/15/2023,08/15/2023,98,Layoff Permanent
31,MasterBrand Cabinets LLC,San Bernardino County,06/15/2023,08/16/2023,90,Layoff Permanent
32,Rieke LLC,Sonoma County,06/16/2023,08/16/2023,49,Closure Permanent
33,Rieke LLC,Sonoma County,06/16/2023,10/24/2023,21,Closure Permanent
34,"T. Hasegawa U.S.A., Inc.",Orange County,06/13/2023,08/15/2023,13,Closure Permanent
35,Front Porch Communities and Services,San Diego County,06/13/2023,08/13/2023,185,Closure Permanent
36,"Illumina, Inc.",Alameda County,06/21/2023,07/21/2023,1,Layoff Permanent
37,"Robinhood Markets, Inc.",San Mateo County,06/29/2023,09/01/2023,23,Layoff Permanent
38,"Illumina, Inc.",San Mateo County,06/21/2023,07/21/2023,71,Layoff Permanent
39,FabFitFun Fulfillment Center,San Bernardino County,06/19/2023,08/19/2023,63,Layoff Permanent
40,Illumina Inc. World Headquarters,San Diego County,06/21/2023,07/21/2023,64,Layoff Permanent
41,"Illumina, Inc.",San Diego County,06/21/2023,07/21/2023,14,Layoff Permanent
42,Jabil Inc.,San Joaquin County,06/16/2023,08/25/2023,53,Closure Temporary
43,Boston Scientific Corporation,Alameda County,06/12/2023,08/11/2023,52,Closure Permanent
44,"Gap, Inc.",Fresno County,05/31/2023,05/31/2023,2,Layoff Permanent
45,Spotify USA Inc.,Los Angeles County,06/08/2023,08/04/2023,68,Layoff Permanent
46,Amgen,San Mateo County,06/13/2023,09/01/2023,4,Closure Permanent
47,"Gap, Inc.",San Francisco County,05/31/2023,05/31/2023,31,Layoff Permanent
48,"Gap, Inc.",San Francisco County,05/31/2023,05/31/2023,1,Layoff Permanent
49,"Xcite Steps, a wholly owned subsidiary of Invo Healthcare, LLC",Placer County,06/20/2023,08/21/2023,96,Closure Permanent
50,"Xcite Steps, a wholly owned subsidiary of Invo Healthcare, LLC",San Diego County,06/20/2023,08/21/2023,99,Closure Permanent
51,"Anchor Brewing Company, LLC",San Francisco County,07/12/2023,08/01/2023,55,Closure Permanent
52,Winkontent Limited dba Monocle,Los Angeles County,06/20/2023,06/30/2023,3,Closure Permanent
53,Prolific Logistics LLC,San Bernardino County,06/08/2023,08/31/2023,136,Closure Permanent
54,"Anaplan, Inc.",San Francisco County,06/21/2023,06/28/2023,14,Layoff Permanent
55,"Anaplan, Inc.",San Francisco County,06/21/2023,07/21/2023,1,Layoff Permanent
56,"Anaplan, Inc.",San Francisco County,06/21/2023,08/21/2023,100,Layoff Permanent
57,"Anaplan, Inc.",San Francisco County,06/21/2023,09/21/2023,2,Layoff Permanent
58,"Anaplan, Inc.",San Francisco County,06/21/2023,10/10/2023,2,Layoff Permanent
59,LinkedIn Corporation,Santa Clara County,06/21/2023,06/09/2023,102,Layoff Permanent
