,company_name,location,notice_date,employees_affected,Zip Code,Address,URL
0,ILC Dover,Frederica,"Apr 26, 2023",41.0,19946.0,"1 Moonwalker Rd; Frederica, Delaware 19946",https://joblink.delaware.gov/search/warn_lookups/106
1,"Centurion of Delaware, LLC",Dover,"May 09, 2023",572.0,19904.0,"841 Silver Lake Blvd., Suite 205; Dover, Delaware 19904",https://joblink.delaware.gov/search/warn_lookups/107
2,IKO Wilmington Plant,Wilmington,"Jan 12, 2021",67.0,19809.0,"120 Hay Rd.; Wilmington, Delaware 19809",https://joblink.delaware.gov/search/warn_lookups/100
3,Wesley College,Dover,"Apr 15, 2021",62.0,19901.0,"120 North State Street; Dover, Delaware 19901",https://joblink.delaware.gov/search/warn_lookups/102
4,Aramark Educational Services@DSU,Dover,"Jun 24, 2021",,19901.0,,https://joblink.delaware.gov/search/warn_lookups/103
5,"Jakes Seafood II, Inc.",,"Mar 16, 2020",20.0,,,https://joblink.delaware.gov/search/warn_lookups/80
6,Ashby Hospitality Group,,"Mar 16, 2020",457.0,,,https://joblink.delaware.gov/search/warn_lookups/77
7,Big Fish Restaurant Group,,"Mar 16, 2020",,,,https://joblink.delaware.gov/search/warn_lookups/78
8,Platinum Dining Group,,"Mar 16, 2020",408.0,,,https://joblink.delaware.gov/search/warn_lookups/79
9,American Bread Company LLC,,"Mar 16, 2020",190.0,,,https://joblink.delaware.gov/search/warn_lookups/81
10,HMShost - Biden Welcome Center,Newark,"Mar 20, 2020",267.0,19725.0,"530 JFK MemorialHwy; Newark, Delaware 19725",https://joblink.delaware.gov/search/warn_lookups/82
11,MDavis,,"Mar 20, 2020",,,,https://joblink.delaware.gov/search/warn_lookups/83
12,Six Paupers Restaurant,,"Mar 23, 2020",30.0,,,https://joblink.delaware.gov/search/warn_lookups/84
13,Ulysses American Gastropub,,"Mar 23, 2020",50.0,,,https://joblink.delaware.gov/search/warn_lookups/85
14,La Casa Pasta,,"Mar 23, 2020",46.0,,,https://joblink.delaware.gov/search/warn_lookups/86
15,Grotto's Pizza,,"Mar 23, 2020",165.0,,,https://joblink.delaware.gov/search/warn_lookups/87
16,Market Street Funders,,"Mar 24, 2020",17.0,,,https://joblink.delaware.gov/search/warn_lookups/88
17,Go Fish Restaurant,,"Mar 20, 2020",5.0,,,https://joblink.delaware.gov/search/warn_lookups/89
18,Go Brit Restaurant,,"Mar 20, 2020",,,,https://joblink.delaware.gov/search/warn_lookups/90
19,"Packers Sanitation Services, Inc.",Kieler,"Mar 19, 2020",99.0,53812.0,"3681 Prism Lane; Kieler, Wisconsin 53812",https://joblink.delaware.gov/search/warn_lookups/91
20,"Koons of Wilmington, Inc.",,"Apr 09, 2020",61.0,,,https://joblink.delaware.gov/search/warn_lookups/92
21,Dentsply Sirona,,"Apr 02, 2020",313.0,,,https://joblink.delaware.gov/search/warn_lookups/93
22,"Millers Ale House, Inc.",,"Apr 06, 2020",,,,https://joblink.delaware.gov/search/warn_lookups/94
23,Doubletree Wilmington Legal District,,"Mar 26, 2020",46.0,,,https://joblink.delaware.gov/search/warn_lookups/95
24,Clarios Middletown DAP facility,,"May 04, 2020",229.0,,,https://joblink.delaware.gov/search/warn_lookups/96
25,GE Aviation,,"Jun 29, 2020",194.0,,,https://joblink.delaware.gov/search/warn_lookups/97
26,Telamon Corporation Delaware Head Start Program,,"Jul 21, 2020",,,,https://joblink.delaware.gov/search/warn_lookups/98
