,company_name,location,layoff_date,employees_affected,Phone Number,Zip Code,Address,Contact Name,Layoff Type,Union Representation
0,Dexter Axle Company,Jasper County,01/09/2023,67,(574) 296-7287,31064,"199 Perimeter Rd, Monticello, Georgia",Pat Keene,Permanent Closure,Yes
1,OA Logistics,Chatham County,03/18/2023,345,(912) 373-7778,31407,"311 International Trade Pkwy, Port Wentworth, Georgia",Dianne Stebbins,Permanent Closure,No
2,Railcrew Xpress (RCX),,02/20/2023,96,(816) 601-0067,31068,"101 Armour Rd suite b, North Kansas City, Missouri",Tara P. Johnson,Permanent Closure,No
3,HealthHelp,,03/24/2023,53,(000) 000-0000,77060,"16945 Northchase Dr suite 1300, Houston, Texas",Sanya Sinclair,Permanent Closure,No
4,"JELD-WEN, Inc.",,03/27/2023,82,(704) 575-5890,30349,"2645 Silver Cres Dr, Charlotte, North Carolina",Craig Sumner,Permanent Closure,No
5,Bechtel Power Corporation,Burke County,04/14/2023,536,(706) 437-3604,30830,"7828 River Rd, Waynesboro, Georgia",Kimberly D. Wylie,Permanent Layoff / Reduction in Force,No
6,"Valassis Direct Mail, Inc.",Cobb County,05/31/2023,69,(734) 476-0031,30168,"7924 Troon Cir, Austell, Georgia",Cheri Jarzynski,Permanent Layoff / Reduction in Force,No
7,"Critical Ideas, Inc.",,02/17/2023,49,(530) 514-9664,94104,"180 Montgomery St, Suite 1860, San Francisco, California",Veronica Wong,Permanent Layoff / Reduction in Force,No
8,"Convoy, Inc.",Fulton County,04/18/2023,119,(206) 312-6500,30308,"600 Peachtree St NE #600, Atlanta, Georgia",Maggie Brady,Permanent Closure,No
9,Twilio Inc,Fulton County,02/22/2023,54,(408) 406-6722,30326,"950 East Paces Ferry Rd NE, 18th Floor, Atlanta, Georgia",Angela Myrhang,Permanent Layoff / Reduction in Force,No
10,Walmart #3775,Fulton County,05/05/2023,260,(470) 277-4001,30318,"1801 Howell Mill Rd NW, Atlanta, GA 30318, Atlanta, Georgia",Zane McCusker,Permanent Closure,No
11,Walmart #3008,Fulton County,05/05/2023,250,(470) 277-4001,30314,"835 M.L.K. Jr Dr NW, Atlanta, Georgia",Zane McCusker,Permanent Closure,No
12,Solo Cup Operating Corporation,Upson County,03/09/2023,84,(517) 244-2726,30286,"2260 Delray Rd, Thomaston, Georgia",Edward Starmer,Permanent Layoff / Reduction in Force,No
13,"Packers Sanitation Services, Inc",Hall County,04/16/2023,135,(608) 568-2232,30564,"5163 Thompson Bridge Road, Murrayville, Georgia",Lindsey Hale,Permanent Closure,No
14,Aspiration Partners Inc.,,05/26/2023,146,(323) 213-9580,0,"4551 Glencoe Ave suite 300, Marina Del Rey, California",JeeAnn Petrina,Permanent Layoff / Reduction in Force,No
15,Batter Up Foods LLC,Fulton County,05/26/2023,110,(678) 974-5522,30336,"5601 Bucknell Drive SW, Atlanta, Georgia",Michael Pinkowski,Permanent Closure,No
16,"NFI Interactive Logistics, LLC",,06/30/2023,172,(910) 442-4706,19507,"2 Cooper St, Camden, New Jersey",David Pinnette,Permanent Closure,No
17,SSB Manufacturing Company,Ware County,06/20/2023,180,(912) 281-9095,31503,"3450 Simmons Dr, Waycross, Georgia",Brian Brunner,Permanent Closure,No
18,"David's Bridal, LLC",,04/14/2023,193,(610) 943-6856,31406,"1001 Washington St, Conshohocken, Pennsylvania",Kim Hardison,Permanent Layoff / Reduction in Force,No
19,Bed Bath & Beyond Inc,,06/26/2023,1000,(844) 694-7721,30567,"650 Liberty Avenue, Union, New Jersey",Lynda Markoe,Permanent Closure,No
20,Omni Corporation,,07/01/2023,18,(505) 259-2214,31524,"PO Box 2040, Chickasha, Oklahoma",Nancy Magana,Permanent Layoff / Reduction in Force,No
21,"Makita USA, Inc.",Gwinnett County,06/28/2023,22,(888) 842-2444,30542,"2660 Buford Hwy, Buford, Georgia",Donna Ellis,Permanent Layoff / Reduction in Force,No
22,ART LAMINATING & FINISHING LLC,Fulton County,07/09/2023,35,(716) 646-8613,30318,"1401 Marietta Blvd NW, Atlanta, Georgia",TODD ANSON,Permanent Closure,No
23,"U.S. AUTO SALES, INC.",Gwinnett County,05/12/2023,142,(770) 280-2974,30097,"2875 University Pkwy, Lawrenceville, Georgia",Bob Anderson,Permanent Layoff / Reduction in Force,No
24,"Hexaware Technologies, Inc.",,05/19/2023,84,(609) 409-6950,30342,"101 Wood Avenue South, Metro 101, Suite 600, Iselin, New Jersey",Hariharan Srinivasan,Permanent Layoff / Reduction in Force,No
25,USASF SERVICING LLC,Gwinnett County,05/19/2023,89,(770) 280-2974,30097,"540 US Auto Sales Blvd, Lawrenceville, Georgia",Bob Anderson,Permanent Layoff / Reduction in Force,No
26,Federal Express Corporation,Bibb County,09/04/2023,62,(404) 728-5257,31206,"4560 Houston Ave, Macon, Georgia",Ralph Destefano,Permanent Closure,No
27,"Bitwise Industries, Inc.",,06/14/2023,625,(559) 705-1487,93721,"700 Van Ness Ave, Fresno, California",Ollen Douglas,Permanent Closure,No
28,"Progressus Therapy, LLC",,08/18/2023,241,(813) 549-5828,31904,"10014 N Dale Mabry Highway, Suite C-100, Tampa, Florida",Donna Orlando,Permanent Closure,No
