,company_name,location,notice_date,layoff_date,employees_affected,City,State,Zip
0,Nashua Homes of Idaho,5200 Federal Way,1/9/2009,1/9/2009,171,Boise,ID,83717
1,Freedom Plastics,640 S. Highway 91,2/7/2009,4/8/2009,26,Preston,ID,83262
2,Micron Technology Inc,8000 S Federal Way,2/23/2009,3/9/2009,2000,Boise,ID,83707
3,Tamarack Resort,311 Village Dr.,2/27/2009,3/4/2009,217,Tamarack,ID,83615
4,"MPC Computers, LLC",906 E. Karcher Road,3/6/2009,3/6/2009,6,Nampa,ID,83687
5,Sportsman's Warehouse,16865 N. Market Place Blvd,3/11/2009,5/11/2009,56,Nampa,ID,83687
6,Sportsman's Warehouse,1844 Hurley Drive,3/11/2009,5/11/2009,46,Pocatello,ID,83204
7,Sun Microsystems,"Ninth & Idaho Bldg, Ste 520",3/30/2009,3/23/2009,3,Boise,ID,83702
8,"CDG Management, LLC",9286 Barnes Dr,5/15/2009,5/29/2009,15,Boise,ID,83709
9,Idahoan Foods,"72 Dehigh Rd., P.O. Box 265",6/8/2009,10/23/2009,128,Dubois,ID,83423
10,"Crossroad Services, Inc.",2360 Alvarado Street,8/6/2009,10/18/2009,8,San Leandro,CA,94577
11,"Sturner & Klein, Inc.",7285 Franklin Ave,8/12/2009,10/15/2009,180,Boise,ID,83709
12,Crossmark,5100 Legacy Dr,8/27/2009,10/31/2009,17,Plano,TX,75024
13,Welco,242 Stagecoach Road,10/14/2009,12/14/2009,93,Naples,ID,75024
14,Sun Microsystems,"Ninth & Idaho Bldg, Ste 520",11/3/2009,1/17/2010,1,Boise,ID,83702
15,Macy's Downtown,918 Idaho Street,1/5/2010,3/7/2010-3/20/2,72,Boise,ID,83707
16,Sam's Club,5725 East Franklin Rd,1/10/2010,3/11/2010,135,Nampa,ID,83687
17,URS/Dry Valley Mining,91 S. Main St.,1/25/2010,1/25/2010,115,Soda Springs,ID,83276
18,XL Four Star Beef,3611 East Amity Avenue,4/8/2011,6/7/2011,522,Nampa,ID,83687-8801
19,Clearwater Paper,805 Mill Road,10/26/2011,10/27/2011,250,Lewiston,ID,83501
20,Hecla Mining,397 Friday Avenue,1/16/2012,1/16/2012,200,Mullan,ID,83460
21,Hostess Brands,110 E. Spruce St. Unit 1,5/7/2012,7/7/2012,1,Bellevue,ID,83313
22,Hostess Brands,9224 Chinden Blvd,5/7/2012,7/7/2012,3,Boise,ID,83714-1504
23,Hostess Brands,743 McGregor Crt. Ste. 120/130,5/7/2012,7/7/2012,28,Boise,ID,83705-5225
24,Hostess Brands,380 N. Five Mile Rd.,5/7/2012,7/7/2012,3,Boise,ID,83713-8959
25,Hostess Brands,3506 E. Cleveland,5/7/2012,7/7/2012,3,Caldwell,ID,83605-6042
26,Hostess Brands,4534 W. Yellowstone Ave.,5/7/2012,7/7/2012,11,Chubbuck,ID,83202-2412
27,Hostess Brands,1670 Hwy 30 North,5/7/2012,7/7/2012,5,Heyburn,ID,83336
28,Hostess Brands,365 E. Anderson,5/7/2012,7/7/2012,15,Idaho Falls,ID,83401-2017
29,Hostess Brands,1670 N. Woodruff Ave.,5/7/2012,7/7/2012,3,Idaho Falls,ID,83401-3330
30,Hostess Brands,1115 Washington,5/7/2012,7/7/2012,2,Montpelier,ID,83254-1343
31,Hostess Brands,690 S. Main St.,5/7/2012,7/7/2012,3,Mtn. Home,ID,83647-3574
32,Hostess Brands,2603 Sundance Rd,5/7/2012,7/7/2012,15,Nampa,ID,83651-1596
33,Hostess Brands,3155 E. Greenhurst,5/7/2012,7/7/2012,4,Nampa,ID,83686
34,Hostess Brands,3100 Pole Line Road,5/7/2012,7/7/2012,11,Pocatello,ID,83201-6120
35,Hostess Brands,120 N Hwy 33,5/7/2012,7/7/2012,9,Rexburg,ID,83440-3518
36,Hostess Brands,548 Washington,5/7/2012,7/7/2012,18,Twin Falls,ID,83301-5642
37,Hostess Brands,211 Freightway,5/7/2012,7/7/2012,1,Twin Falls,ID,83301-7940
38,Peak Medical of Idaho,3111 Channing Way,5/21/2012,7/20/2012,82,Idaho Falls,ID,83404
39,Hoku Materials,One Hoku Way,5/22/2012,5/22/2012,99,Pocatello,ID,83204
40,Tranform Solar,900 E. Karcher Road,6/4/2012,6/15/2012,250,Nampa,ID,83687
41,Tranform Solar,8000 South Federal Way,6/4/2012,6/15/2012,,Boise,ID,83716
42,Frontier Communications,7400 Mineral Drive,7/20/2012,9/18/2012,107,Coeur d'Alene,ID,83815
43,Teleperformance,151 N. Third Avenue,10/5/2012,10/5/2012,114,Pocatello,ID,83201
44,TriWest Healthcare Alliance,"90 Hope Dr. Bldg. 6000, Room D-115",12/10/2012,2/15/2013,2,Mtn. Home,ID,83648
45,Rhodes Bakery,14702 Karcher Rd,1/8/2013,3/10/2013,49,Caldwell,ID,83607
46,U.S. Silver and Gold,1041 Lake Gulch Road,7/16/2013,9/16/2013,130,Wallace,ID,83873
47,Affinion Group,"9300 W. Overland Road, Suite 230",7/17/2013,9/27/2013,226,Boise,ID,83709
48,Dutchmen,10 N 300 W,9/10/2013,11/15/2013,156,Burley,ID,83318
49,ATK,2100 S. Silverstone Way,10/31/2013,12/30/2013,75,Meridian,ID,83642
50,Simplot Food Group,17385 Simplot Boulevard,11/1/2013,12/31/2013,262,Caldwell,ID,83606
51,FLSmidth,"3405 E. Overland Rd., Suite 200",12/11/2013,2/12/2014,46,Meridian,ID,83642
52,First National Bank of Layton,"625 S. Stratford Dr., Suite 200",12/16/2013,2/20/2014,56,Meridian,ID,83642
53,Albertson's,1310 Pomerelle,1/2/2014,2/6/2014,40,Burley,ID,83318
54,Center Partners,1755 International Way,1/22/2014,3/31/2014,400,Idaho Falls,ID,83402
55,Simplot Food Group,3704 N. Middleton Rd,3/26/2014,11/10/2014,206,Nampa,ID,83687-8226
56,Heinz Frozen Food,221 Ore Ida Court,2/20/2014,4/25/2014,400,Pocatello,ID,83202
57,Maximus,"11331 Chinden Blvd., Bldg. 8",2/24/2014,4/25/2014,1600,Boise,ID,83714
58,Simplot Food Group,624 Simplot Loop,2/28/2014,4/30/2014,309,Aberdeen,ID,83210
59,Motive Power,4600 Apple Street,4/4/2014,6/4/2014,162,Boise,ID,83716
60,Coldwater Creek,One Coldwater Creek Drive,4/11/2014,6/11/2014,339,Sandpoint,ID,83864
61,Coldwater Creek,751 West Hanley Avenue,4/11/2014,6/11/2014,104,Coeur d'Alene,ID,83815
62,HMS Host,"3201 Airport Way, Ste 290",7/16/2014,9/29/2014,79,Boise,ID,83705
63,Elks Rehab System,600 N. Robbins Road,7/31/2014,9/30/2014,516,Boise,ID,83702
64,Thompson Creek Mining,P.o. Box 600,11/10/2014,12/19/2014,160,Challis,ID,83226
