,company_name,location,notice_date,layoff_date,employees_affected,Formal Name,City,State,Zip
0,Eclipse Dungs Controls LP,1665 Elmwood Rd ,7/22/2020,,107,"ECLIPSE, INC.",Rockford,IL,61103
1,"Doumak, Inc.",1006 Fairway Lane ,5/29/2020,,30,"DOUMAK, INC.",Bensenville,IL,60606
2,Syncreon,3142 Chrysler Drive P. O. Box 510,2/28/2019,,180,,Belvidere,IL,61008
3,Borg Warner Transmission,300 South Maple ,11/19/2021,2020-11-19 00:00:00,100,,Frankfort,IL,60423
4,"TouchSensor Technologies, LLC",203 N. Gables Blvd ,8/24/2020,2019-06-17 05:00:00,41,,Wheaton,IL,60187-4818
5,Grand Victoria Casino,250 S. Grove ,4/7/2020,,598,,Elgin,IL,60120
6,Northern Trust Corporation,50 S. LaSalle St. ,4/19/2018,2017-04-18 00:00:00,76,,Chicago,IL,60603
7,United Airlines,233 S. Wacker Dr. ,"1/29/2021, 7/31/2020, 7/8/2020",,4968,United Airlines,Chicago,IL,60606
8,John Deere Seeding Plant,501 River Drive ,2/17/2023,,45,JOHN DEERE FOUNDRY EAST MOLINE,Moline,IL,61265
9,"FCA US, LLC",3000 West Chrysler Drive ,"5/17/2021, 2/27/2019",2020-08-25 05:00:00,1371,,Belvidere,IL,61008
10,Hamilton County Coal Mine #1,18033 County Road 500E ,4/15/2020,,79,"Hamilton County Coal, LLC",Dahlgren,IL,62828-4294
11,"Caterpillar, Inc.",2200 Channahon Road ,11/2/2018,2018-08-06 05:00:00,285,Caterpillar,Joliet,IL,60436
12,"Android Belvidere, LLC",1222 Crosslink Pkwy ,3/1/2019,2021-03-15 05:00:00,58,Android Industries-Belvidere,Belvidere,IL,61008
13,Great Dane Trailers,2006 Kentville Road ,4/2/2020,,180,,Kewanee,IL,61443
14,"Xerox, INC",5500 Pearl Street ,2/10/2017,2015-10-12 00:00:00,125,XEROX OAK BROOK MANUFACTURING,Rosemont,IL,60018
15,"Alcatel-Lucent USA, Inc.",2000 Lucent Drive ,7/18/2016,2015-07-18 00:00:00,400,,Naperville,IL,60563
16,Progress Rail Locomotive APL Logistics,"6600 River Road, Bldg. A ",4/27/2017,2016-06-12 00:00:00,114,,Hodgkins,IL,60525
17,News Gazette Media,15 Main Street ,8/30/2019,,130,,Champaign,IL,61820-0677
18,Jacobson Warehouse Company,325 Route 31 South ,6/27/2018,2018-09-10 17:00:00,134,"XPO Logistics Supply Chain, Inc.",Aurora,IL,60538
19,"Acuity Brands Lighting, Inc.",1300 S. Wolf Road ,"6/3/2021, 2/7/2020",2017-09-17 00:00:00,298,,Des Plaines,IL,60018
20,Caterpillar,325 Route 31 ,2/25/2019,2017-10-26 05:00:00,400,Caterpillar,Montgomery,IL,60538
21,Nokia of America Corporation,2000 Lucent Drive ,10/31/2018,2018-12-17 00:00:00,342,,Naperville,IL,60563
22,ADC Diecasting & Manufacturing,901 Chase Ave. ,11/19/2018,2017-12-05 00:00:00,101,,Elk Grove Village,IL,60007
23,"Omron Automotive Electronics, Inc.",3709 Ohio Avenue ,9/10/2018,2018-10-28 17:00:00,78,,St. Charles,IL,60174
24,HSBC Technology and Services,1421 W. Shure Drive Suite #100,2/22/2019,2018-02-08 00:00:00,8,HSBC Card Services,Arlington Heights,IL,60004
25,International Business Machine,71 S Wacker ,3/26/2019,2018-02-15 00:00:00,23,IBM,Chicago,IL,60606
26,Metal Box International,11600 King Street ,3/13/2019,2019-12-06 00:00:00,85,,Franklin Park,IL,60131
27,"Interplex Daystar, Inc.",11130 King Street ,4/8/2019,2018-05-16 00:00:00,75,,Franklin Park,IL,60131
28,Comcast,1415 W. Diehl Road ,4/23/2019,,194,,Naperville,IL,60563
29,"Hubbell Lighting, Inc.",1225 Bowes Road ,5/2/2019,2018-05-08 00:00:00,84,,Elgin,IL,60123
30,"Rockwell Automation, Inc.",2802 W. Bloomington Rd. ,2/18/2021,,130,,Champaign,IL,61822
31,"Jernberg Industries, LLC",328 W. 40th Place ,5/14/2019,2018-06-24 00:00:00,166,,Chicago,IL,60609
32,Anixter International Headquarters,2301 Patriot Drive ,6/19/2019,2018-04-16 00:00:00,68,"ANIXTER BROS., INC.",Glenview,IL,60026
33,Amita Health Medical Collections,2601 Navistar Drive ,6/20/2019,2018-04-08 00:00:00,153,Alexian Bros.-AHS Midwest Regions Co.,Lisle,IL,60532
34,Nestle USA,601 Wall St. ,8/16/2019,,121,,Glendale Heights,IL,60139
35,"Del Monte Foods, Inc.",347 North 43rd Road ,8/20/2019,2018-09-12 00:00:00,473,,Mendota,IL,61342
36,Midland States Bank,3 Diversatech Drive ,8/27/2019,,40,,Manteno,IL,60950
37,Refinitiv,1111 W 22nd Street ,10/11/2019,,33,,Oak Brook,IL,60523
38,Peabody/Wildcat Hills Complex,420 Long Lane Road ,10/14/2019,,226,,Equality,IL,62934
39,Veritiv Operating Company,850 N Arlington Heights Rd. Suite 100 ,3/31/2022,,43,,Itasca,IL,60143
40,Pheasant Run Resort,4051 E. Main St. ,11/12/2019,,149,,St. Charles,IL,60174
41,"Castwell Products, LLC",7800 N. Austin Ave. ,11/21/2019,2018-12-19 00:00:00,149,,Skokie,IL,60077
42,"GSI Group, LLC",1051 W. North Ave. ,11/29/2019,,89,,Flora,IL,62839
43,"ATI Holdings, Inc.",790 Remington Blvd. ,1/2/2020,2019-01-03 00:00:00,50,,Bolingbrook,IL,60440
44,LSC Communications,"6821 E. County Rd., 1100N ",1/14/2020,2019-01-23 18:00:00,796,,Mattoon,IL,61938
45,Bear Down Logistics,2901 Boardwalk Drive ,2/12/2020,,62,,Champaign,IL,61822
46,"Art Van Furniture, LLC",1021 Butterfield Road ,3/4/2020,,46,,Downers Grove,IL,60515
47,Gerber Collision and Glass - Elmhurst,400 W Grand Ave ,3/31/2020,,40,,Elmhurst,IL,60126
48,Global Gear,2500 Curtiss Street ,3/20/2020,,46,,Downers Grove,IL,60515
49,MacMurray College,447 East College Ave. ,3/31/2020,,138,,Jacksonville,IL,62650-1245
50,Hampton Inn Champaign/Urbana - University Ave,1200 West University Avenue ,4/1/2020,,25,Hampton Inn,Urbana,IL,61801
51,"Covia Corporation, Utica Plant",402 Mill St ,4/13/2020,,65,Unimin Corporation,Utica,IL,61373
52,Woodward,1 Woodward Way ,4/9/2020,,1125,WOODWARD GOVERNOR COMPANY,Loves Park,IL,61111
53,Flex-N-Gate,1306 E. University Ave. ,4/27/2020,,150,Master Guard,Urbana,IL,61802
54,Flex-N-Gate,601 Guardian Drive ,4/28/2020,,400,,Urbana,IL,61802
55,"Flexitech, Inc.",1719 E Hamilton Rd ,2/5/2021,2020-02-25 18:00:00,139,,Bloomington,IL,61704-9625
56,Parkhurst Dining Services - Lake Forest,555 N. Sheridan Road ,4/27/2020,,83,,Lake Forest,IL,60045
57,Harrah's Metropolis,100 East Front Street ,4/29/2020,,438,Harrah's Metropolis,Metropolis,IL,62960
58,Hyatt Corporation,1120 N. Carbon Street Suite 70,5/11/2020,,200,Hyatt,Marion,IL,62959
59,"Warehouse Services, Inc.",29900 Graaskamp Blvd ,5/11/2020,,89,,Wilmington,IL,60481
60,Leoni Wiring Systems,3100 N. Campbell Ave. #101 ,2/5/2020,2018-11-06 00:00:00,1,Leoni Wiring Systems,Tucson,AZ,85019
61,Q Center,1405 N. 5th Ave ,6/9/2020,,322,,Saint Charles,IL,60174
62,Worden Martin Buick GMC and Subaru,1402 N. Dunlap Avenue ,6/2/2020,,83,,Savoy,IL,61874
63,Great Wolf Lodge - Gurnee,1700 Nations Dr ,6/26/2020,,597,Great Wolf Lodge,Gurnee,IL,60031
64,Savor Chicago,2301 S King Drive ,6/29/2020,,990,Savor Chicago,Chicago,IL,60616
65,ASM Global (at McCormick Place),301 E. Cermak Road ,8/9/2023,,192,,Chicago,IL,60616
66,"The Rock Island Boatworks, Inc",777 Jumer Dr ,7/7/2020,,321,,Rock Island,IL,61201
67,Palmer House Hilton,17 E Monroe ,7/23/2020,,669,Palmer House Hilton,Chicago,IL,60603
68,"LSC Communications US, LLC",801 N Union St ,5/6/2021,,390,,Dwight,IL,60420
69,"Methode Electronics, Inc.",111 Buchanan Street ,9/9/2020,2019-11-10 06:00:00,42,TECHNICAL COMPONENTS COMPANY,Carthage,IL,62321
70,DoubleTree by Hilton Mundelein-Libertyville,510 E. Route 83 ,9/16/2020,,59,,Mundelein,IL,60060
71,Nestle USA,10255 Kesslinger Rd. ,9/2/2020,,70,,Dekalb,IL,60115
72,"Arcosa Wind Towers, Inc.",10000 Tabor Road ,"5/8/2023, 5/8/2023, 5/8/2023, 5/8/2023, 9/21/2021",2021-08-26 17:00:00,148,,Clinton,IL,61727
73,Two Rivers Head Start,1661 Landmark Road ,8/3/2020,,125,,Aurora,IL,60506
74,Nokia of America Corporation,2000 Lucent Drive ,11/24/2020,2020-10-24 05:00:00,189,,Naperville,IL,60563
75,"Premier Staffing Company, Inc.",275 Parkway Drive ,6/9/2020,,60,,Lincolnshire,IL,60069
76,Solo Cup Operating Corporation,1505 E Main St ,9/25/2023,,138,,Urbana,IL,61802-2834
77,Marmon Foodservice Technologies,101 Regency Dr ,12/23/2020,,21,"Cornelius, Inc.",Glendale Heights,IL,60139-2206
78,Kuehne Nagel,4200 Ferry Rd ,12/16/2020,,115,,Aurora,IL,60502-9552
79,"Xpo Logistics, Inc.",4005 Cedar Creek Dr ,"3/8/2021, 1/5/2021",,227,"XPOLOGISTICS, XPO",Joliet,IL,60436-2090
80,Korn Ferry,233 S. Wacker Dr. Suite 700,12/14/2020,2019-09-10 05:00:00,10,,Chicago,IL,60606
81,Solo Cup Operating Corporation,7575 S Kostner Ave  Ste 3,11/25/2020,2019-09-10 05:00:00,150,,Chicago,IL,60652-1151
82,"Emerald Performance Materials, LLC",1550 County Road 1450 N ,2/5/2021,2020-02-24 18:00:00,52,Emerald Performance Materials,Henry,IL,61537-9404
83,Follett Corporation,3 Westbrook Ctr Ste 200 ,2/22/2021,2019-11-20 00:00:00,65,,Westchester,IL,60154
84,"UPS Supply Chain Solutions, Inc",775 East Dr ,2/26/2021,,63,,Carol Stream,IL,60188-9410
85,"Schutt Sports, LLC",610 Industrial Dr S ,4/5/2021,,180,,Litchfield,IL,62056-3040
86,AON Corporation,5 Overlook Pointe ,2/2/2021,2018-11-19 06:00:00,60,,Lincolnshire,IL,60069
87,"Fresenius Kabi, LLC",600 Supreme Dr ,4/19/2021,,68,"Distribution Center, FRESENIUS KABI",Bensenville,IL,60106-1158
88,"MTIL, Inc.",400 W Crossroads Pkwy ,4/26/2021,,140,,Bolingbrook,IL,60440-4949
89,Alexian Brothers,2601 Navistar Drive ,4/28/2021,2020-06-30 17:00:00,46,AMITA Health IT Division,Lisle,IL,60532
90,Magna Exteriors Belvidere,675 Corporate Pkwy ,"2/28/2023, 5/24/2021",2021-04-19 17:00:00,150,"Decoma Admark, DECOMA DESIGN & ENGINEERING",Belvidere,IL,61008-4079
91,"Sauer Brands, Inc.",2401 E. Devon Avenue ,6/1/2021,,36,,Elk Grove Village,IL,60007
92,Adient plc,1701 Bethany Rd ,"1/30/2023, 6/10/2021",2021-05-04 17:00:00,142,,Sycamore,IL,60178-3104
93,"Meritor, Inc.",1020 W 119th St ,6/30/2021,,74,,Chicago,IL,60643
94,"MEC Energy Services, LLC",1 Rock Island Arsenal ,6/23/2021,,97,,Rock Island,IL,61299-6400
95,Walmart Inc.,727 W Golf Rd ,7/8/2021,,78,Walmart,Des Plaines,IL,60016-2414
96,"Henry Pratt Company, LLC",401 S Highland Ave ,7/13/2021,,112,Henry Pratt Company,Aurora,IL,60506-5580
