,company_name,location,notice_date,layoff_date,employees_affected,Industry
0,Twenty Twenty Custom Molded Plastics,Bluffton,11/02/2023,11/04/2023,93,All Other Plastics Product Manufacturing
1,Pepsi Beverages Company,Muncie,10/30/2023,12/31/2023,45,Soft Drink Manufacturing
2,"Dwyer Instruments, LLC.",Wakarusa,10/29/2023,03/24/2024,55,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
3,NYX,New Albany,10/17/2023,10/16/2023,100,Automobile and Light Duty Motor Vehicle Manufacturing
4,Sonoco Products Company (Sonoco TEQ),Fremont,10/13/2023,6/30/2024,63,Plastics Packaging Film and Sheet Manufacturing
5,Exo-s,Howe,10/12/2023,10/15/2023,56,All Other Plastics Product Manufacturing
6,GDIT,Odon,9/1/2023,10/31/2023,70,Custom Computer Programming Services
7,Brinco,Bristol,08/28/2023,08/25/2023,101,Fabricated Structural Metal Manufacturing
8,IU Health Blackford Hospital,Hartford City,08/28/2023,10/27/2023,84,General Medical & Surgical Hospitals
9,Trialon Corporation,Kokomo,08/23/2023,10/22/2023,110,Automobile and Light Duty Motor Vehicle Manufacturing
10,BorgWarner,Kokomo,08/23/2023,10/22/2023,82,Other Motor Vehicle Parts Manufacturing
11,"TRIN, Inc",Ashley,08/22/2023,11/1/2023,155,All Other Miscellaneous Manufacturing
12,WestRock,Columbus,08/15/2023,10/15/2023,101,Other Paperboard Container Manufacturing
13,Owens Corning,Wabash,08/18/2023,10/31/2023,87,Engineering Services
14,"Arrowhead Engineered Products, Inc",Jasper,08/14/2023,10/14/2023,52,Transportation and Warehouse
15,BWI Group,Greenfield,08/03/2023,10/03/2023,9,Specialized Automotive Repair
16,Alan Ritchey,Plainfield,08/03/2023,10/16/2023,242,General Warehousing and Storage
17,Aurorium,Indianapolis,08/02/2023,10/03/2023,159,All Other Miscellaneous Chemical Product and Preparation Manufacturing
18,Tyson Foods,Corydon,08/07/2023,03/01/2024,368,Poultry Processing
19,MonoSol,Merrillville,07/26/2023,09/25/2023,45,All Other Plastics Product Manufacturing
