,company_name,location,notice_date,employees_affected,WARN Type,Address,URL
0,Case New Holland,Wichita,"Jan 03, 2023",60.0,Non-WARN,"3301 S. Hoover Rd. ; Wichita, Kansas 67215",https://www.kansasworks.com/search/warn_lookups/2181
1,AGI Suretrack LLC (AGI),Leawood,"Jan 11, 2023",73.0,WARN,"4001 W 114th Street; Leawood, Kansas 66211",https://www.kansasworks.com/search/warn_lookups/2182
2,John Deere,Coffeyville,"Jan 24, 2023",29.0,WARN,"2624 N. US Hwy 169; Coffeyville, Kansas 67337",https://www.kansasworks.com/search/warn_lookups/2183
3,Tom Sawyer Bicycle Shop,Wichita,"Jan 16, 2023",3.0,Non-WARN,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",https://www.kansasworks.com/search/warn_lookups/2185
4,NetApp,Wichita,"Jan 31, 2023",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2184
5,HealthHelp,Houston,"Jan 23, 2023",,WARN,,https://www.kansasworks.com/search/warn_lookups/2186
6,Hutchinson Regional Medical Center,Hutchinson,"Feb 13, 2023",85.0,Non-WARN,"1701 E. 23rd; Hutchinson, Kansas 67502",https://www.kansasworks.com/search/warn_lookups/2187
7,Sonoco Products,Hutchinson,"Mar 06, 2023",116.0,WARN,"100 N. Halstead; Hutchinson, Kansas 67501",https://www.kansasworks.com/search/warn_lookups/2188
8,Durham School Services,Andover,"Mar 22, 2023",69.0,WARN,"222 East King Street; Andover, Kansas 67002",https://www.kansasworks.com/search/warn_lookups/2189
9,Amazon Air Hub,Wichita,"Mar 30, 2023",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2190
10,Bed Bath & Beyond,Wichita,"Feb 09, 2023",15.0,Non-WARN,"2441 N. Maize Rd.; Wichita, Kansas 67205",https://www.kansasworks.com/search/warn_lookups/2191
11,Ferguson Enterprises,Wichita,"Feb 14, 2023",600.0,Non-WARN,"1210 E. Douglas; Wichita, Kansas 67226",https://www.kansasworks.com/search/warn_lookups/2192
12,Sonoco,Hutchinson,"Mar 03, 2023",116.0,WARN,"100 N. Halstead; Hutchinson, Kansas 67501",https://www.kansasworks.com/search/warn_lookups/2193
13,"Husky Liners, Inc",Wichita,"Apr 17, 2023",,WARN,,https://www.kansasworks.com/search/warn_lookups/2194
14,"Husky Liners, Inc",Winfield,"Apr 17, 2023",89.0,WARN,"22425 D Street; Winfield, Kansas 67156",https://www.kansasworks.com/search/warn_lookups/2195
15,Bed Bath & Beyond,Wichita,"Apr 25, 2023",18.0,Non-WARN,"2750 N Greenwich Ct; Wichita, Kansas 67226",https://www.kansasworks.com/search/warn_lookups/2196
16,Buy Buy Baby,Wichita,"Apr 25, 2023",15.0,Non-WARN,"2756 N Greenwich Ct; Wichita, Kansas 67226",https://www.kansasworks.com/search/warn_lookups/2197
17,Great Plains Industries- GPI,Wichita,"May 01, 2023",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2199
18,Walmart,Overland Park,"May 03, 2023",106.0,WARN,"10303Metcalf Avenue; Overland Park, Kansas 66212",https://www.kansasworks.com/search/warn_lookups/2200
19,"Compass Group USA, Inc.",Hays,"May 04, 2023",121.0,WARN,"600 Park Street; Hays, Kansas 67601",https://www.kansasworks.com/search/warn_lookups/2201
20,"Packers Sanitation Services, Inc.",Dodge City,"May 05, 2023",173.0,WARN,"3201 W. Hwy 400; Dodge City, Kansas 67801",https://www.kansasworks.com/search/warn_lookups/2202
21,Office Max,Salina,"Apr 22, 2023",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2203
22,RV Products,Wichita,"May 22, 2023",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2204
23,Johnson Controls,Wichita,"Jun 02, 2023",250.0,Non-WARN,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",https://www.kansasworks.com/search/warn_lookups/2205
24,"PPC Flexible Packaging, LLC",Mission,"Jun 22, 2023",99.0,WARN,"6800 W 61st Street; Mission, Kansas 66202",https://www.kansasworks.com/search/warn_lookups/2206
25,Loony Bin,Wichita,"Jul 15, 2023",15.0,Non-WARN,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",https://www.kansasworks.com/search/warn_lookups/2207
26,Salvation Army Emergency Shelter,Wichita,"Jul 20, 2023",12.0,Non-WARN,"300 W. Douglas; Wichita, Kansas 67202",https://www.kansasworks.com/search/warn_lookups/2208
27,Center Industries,Wichita,"Jul 26, 2023",40.0,Non-WARN,"300 W. Douglas; Wichita, Kansas 67202",https://www.kansasworks.com/search/warn_lookups/2209
28,National Safety Apparel,Cleveland,"Aug 01, 2023",,WARN,,https://www.kansasworks.com/search/warn_lookups/2210
29,Yellow Corporation,Washington,"Jul 30, 2023",22000.0,WARN,"Sean, O'Brien; Washington, District Of Columbia 20001",https://www.kansasworks.com/search/warn_lookups/2211
30,PT Solutions,Atlanta,"Aug 14, 2023",58.0,WARN,"1100 Circle 75 Parkway, Suite 1400; Atlanta, Georgia 30339",https://www.kansasworks.com/search/warn_lookups/2212
31,Full Vision,Newton,"Aug 16, 2023",12.0,Non-WARN,"3017 Full Vision Dr; Newton, Kansas 67114",https://www.kansasworks.com/search/warn_lookups/2213
32,Yellow Corp,Washington,"Jul 30, 2023",,WARN,,https://www.kansasworks.com/search/warn_lookups/2214
33,Sheridan,Lawrence,"Aug 28, 2023",72.0,WARN,"810 E. 10th Street; Lawrence, Kansas 66044",https://www.kansasworks.com/search/warn_lookups/2215
34,Newell Rubbermaid,Winfield,"Aug 03, 2023",46.0,Non-WARN,"Liz Cazares; Winfield, Kansas 67156",https://www.kansasworks.com/search/warn_lookups/2216
35,DAV Thrift Stores,Wichita,"Sep 12, 2023",50.0,Non-WARN,"DAV Thrift Stores; Wichita, Kansas 67226",https://www.kansasworks.com/search/warn_lookups/2217
36,Herington Hospital,Herington,"Oct 06, 2023",57.0,Non-WARN,"100 E. Helen; Herington, Kansas 67449",https://www.kansasworks.com/search/warn_lookups/2218
37,Newman University,Wichita,"Oct 25, 2023",10.0,Non-WARN,"Crosby Branham, 300 W. Douglas; Wichita, Kansas 67202",https://www.kansasworks.com/search/warn_lookups/2219
38,Walgreen's,El Dorado,"Oct 23, 2023",5.0,Non-WARN,"119 6th St. ; El Dorado, Kansas 67042",https://www.kansasworks.com/search/warn_lookups/2220
39,Siemens,Hutchinson,"May 20, 2022",92.0,WARN,"1000 Commerce Street; Hutchinson, Kansas 67501",https://www.kansasworks.com/search/warn_lookups/2158
40,Siemens,Hutchinson,"Feb 09, 2022",65.0,WARN,"1000 Commerce St.; Hutchinson, Kansas 67501",https://www.kansasworks.com/search/warn_lookups/2156
41,Smithfield,Kansas City,"May 17, 2022",80.0,WARN,"S. 98th Street, Suite A; Kansas City, Kansas 66111",https://www.kansasworks.com/search/warn_lookups/2157
42,Sears,Colby,"May 31, 2022",5.0,Non-WARN,"1937 S. Range; Colby, Kansas 67701",https://www.kansasworks.com/search/warn_lookups/2159
43,Cox Farms,Long Island,"May 31, 2022",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2160
44,Sears,Newton,"May 31, 2022",3.0,Non-WARN,"505 N. Poplar; Newton, Kansas 67114",https://www.kansasworks.com/search/warn_lookups/2161
45,Party City,Salina,"Apr 28, 2022",4.0,Non-WARN,"2855 Market Pl; Salina, Kansas 67401",https://www.kansasworks.com/search/warn_lookups/2162
46,Siemens,Hutchinson,"May 20, 2022",92.0,WARN,"1000 Commerce St.; Hutchinson, Kansas 67501",https://www.kansasworks.com/search/warn_lookups/2163
47,SSB Manufacturing Company,Lenexa,"Jun 01, 2022",,WARN,,https://www.kansasworks.com/search/warn_lookups/2164
48,Amemtum PAE,Overland Park,"Jun 13, 2022",18.0,WARN,"7600 West 119th Street; Overland Park, Kansas 66213",https://www.kansasworks.com/search/warn_lookups/2165
49,GreenAcres Market,Wichita,"Jun 07, 2022",2.0,Non-WARN,"2315 W 21st St Suite 115; Wichita, Kansas 67203",https://www.kansasworks.com/search/warn_lookups/2166
50,First Baptist Childcare,Wichita,"Sep 30, 2022",15.0,Non-WARN,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",https://www.kansasworks.com/search/warn_lookups/2167
51,The Citizen's Bank,Moundridge,"Sep 06, 2022",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2168
52,Dales Furniture,Garden City,"Sep 23, 2022",5.0,Non-WARN,"705 W Kansas Ave; Garden City, Kansas 67846",https://www.kansasworks.com/search/warn_lookups/2169
53,Westlake Hardware,Garden City,"Sep 23, 2022",10.0,Non-WARN,"1210 Fleming St; Garden City, Kansas 67846",https://www.kansasworks.com/search/warn_lookups/2170
54,Jimmy John's,Garden City,"Sep 23, 2022",6.0,Non-WARN,"501 E Kansas Ave; Garden City, Kansas 67846",https://www.kansasworks.com/search/warn_lookups/2171
55,Whispering Pines,Norton,"Aug 29, 2022",0.0,Non-WARN,"200 Whispering Pines Ave; Norton, Kansas 67654",https://www.kansasworks.com/search/warn_lookups/2172
56,Almost Home,Great Bend,"Sep 23, 2022",5.0,Non-WARN,"1919 Van Buren; Great Bend, Kansas 67530",https://www.kansasworks.com/search/warn_lookups/2173
57,Robby's Famous Cheesecake,Salina,"Nov 10, 2022",4.0,Non-WARN,"156 S. Santa Fe; Salina, Kansas 67401",https://www.kansasworks.com/search/warn_lookups/2174
58,Yoder Smokers,Hutchinson,"Nov 14, 2022",8.0,Non-WARN,"1816 E Wasp Rd; Hutchinson, Kansas 67501",https://www.kansasworks.com/search/warn_lookups/2175
59,Harper Camperland,Great Bend,"Nov 18, 2022",3.0,Non-WARN,"1200 10th St.; Great Bend, Kansas 67530",https://www.kansasworks.com/search/warn_lookups/2176
60,Kansas Masonic Home,Wichita,"Dec 31, 2022",100.0,Non-WARN,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",https://www.kansasworks.com/search/warn_lookups/2177
61,Matrix Bottles,Wichita,"Nov 11, 2022",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2178
62,Masterbrand,Newton,"Dec 05, 2022",458.0,WARN,"900 S. Meridian; Newton, Kansas 67114",https://www.kansasworks.com/search/warn_lookups/2179
63,"VVF Kansas Services, LLC",Kansas City,"Dec 12, 2022",76.0,WARN,"1705 Kansas Avenue; Kansas City, Kansas 66105",https://www.kansasworks.com/search/warn_lookups/2180
64,Logan's Roadhouse,Wichita,"Oct 18, 2022",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2198
65,Christopher & Banks,,"Jan 20, 2021",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2133
66,Christopher & Banks,,"Jan 01, 2021",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2134
67,Northern Sun,Goodland,"Feb 03, 2021",47.0,Non-WARN,"6425 Rd. 14; Goodland, Kansas 67735",https://www.kansasworks.com/search/warn_lookups/2136
68,Chemstar,Mcpherson,"Jan 28, 2021",11.0,Non-WARN,"503 W. Hayes; Mcpherson, Kansas 67460",https://www.kansasworks.com/search/warn_lookups/2138
69,Christopher & Banks,Salina,"Jan 26, 2021",6.0,Non-WARN,"2259 S. 9th; Salina, Kansas 67401",https://www.kansasworks.com/search/warn_lookups/2131
70,Christopher & Banks,Liberal,"Jan 20, 2021",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2132
71,Learjet,Wichita,"Apr 07, 2021",,WARN,,https://www.kansasworks.com/search/warn_lookups/2142
72,GE Aviation,Arkansas City,"Apr 08, 2021",14.0,Non-WARN,"Strother Fld, Arkansas City, KS 67005; Arkansas City, Kansas 67005",https://www.kansasworks.com/search/warn_lookups/2141
73,"Forest River, Inc.",Salina,"Mar 08, 2021",146.0,WARN,"1655 Wall Street; Salina, Kansas 67401",https://www.kansasworks.com/search/warn_lookups/2140
74,Siemems Gamesa,Hutchinson,"Apr 14, 2021",40.0,Non-WARN,"1000 Commerce St.; Hutchinson, Kansas 67501",https://www.kansasworks.com/search/warn_lookups/2143
75,Medova Healthcare,Wichita,"May 27, 2021",,WARN,,https://www.kansasworks.com/search/warn_lookups/2144
76,Penny's Caravan,Wichita,"May 27, 2021",10.0,Non-WARN,"2260 Coolidge Ave; Wichita, Kansas 67204",https://www.kansasworks.com/search/warn_lookups/2145
77,Scholfield Hatchett Body Shop,Wichita,"May 18, 2021",35.0,Non-WARN,"11516 E Kellogg Dr N; Wichita, Kansas 67207",https://www.kansasworks.com/search/warn_lookups/2146
78,"Chewy, Inc.",Edgerton,"Jun 10, 2021",162.0,WARN,"30901 W. 191st Street; Edgerton, Kansas 66021",https://www.kansasworks.com/search/warn_lookups/2147
79,US Tower,Lincoln,"Jul 14, 2021",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2148
