,company_name,location,notice_date,layoff_date,employees_affected,URL,Closure/Layoff
0,Castellini Group of Companies,Campbell,2022-01-20 00:00:00,2022-03-19 00:00:00,150.0,,Layiff
1,Scentsy  Inc,Fayette,2022-01-12 00:00:00,2022-04-01 00:00:00,169.0,,Closure
2,Mayfield Consumer Products,Graves,2022-01-10 00:00:00,2021-12-10 00:00:00,501.0,,Closure
3,Emerson - Greenlee (Greenlee Professional Tools),Jefferson,2021-11-16 00:00:00,2022-10-31 00:00:00,60.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001M0Yn/cv5Vm4VV8DQo6IRIgtLomZnw2Rhaus9oNWIqGtjtvNI,Closure
4,Ryder Distribution Center at FRAM Group - Worldwide Blvd,Boone,2021-11-04 00:00:00,2021-12-31 00:00:00,134.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000001EzjG/MqsuLcBX4U_SNzvL_dPKy4eQ12F6hsuwEAA1rPi3E6c,Closure
5,Bluegrass Cellular-Elizabethtown,Hardin,2021-10-05 00:00:00,2021-11-30 00:00:00,178.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000yNWq/fkzXuhdV5JgCrxUX3XY9AkJPzPKCfrnHn1BayKUv03o,Closure
6,Vitech Manufacturing LP,Christian,2021-09-29 00:00:00,2022-07-15 00:00:00,40.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/8y000000vHHY/5QXFGFAAg3s77VoPoLZeDKwLajXDJRIno_EtvbEDS6o,Closure
7,Regis Woods Care and Rehab Center,Jefferson,2021-09-21 00:00:00,2021-10-16 00:00:00,95.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000002BCrv/TSd8M85stEq3c3n9JMbv4Gyum4cLTAsTcWSOp.dS_Gw,Closure
8,TRANE U.S. Inc.,Fayette,2021-07-27 00:00:00,2021-09-30 00:00:00,659.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000025Bq4/eQmUMPAyugRGX0qXL88WdtQvSvs_Fk3HdyTYNTiPKFE,Closure
9,P-K Tool & Manufacturing Company,Madison,2021-06-08 00:00:00,2021-07-31 00:00:00,54.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000y9Wa/jpUbU26tJli_2mvE7pASwrM6yLvQOYvdTRlg2u_zgMU,Closure
