,company_name,location,notice_date,layoff_date,employees_affected,Type
0,Price Rite,"3104 Queens Chapel Rd Chillum, MD 20782",1/5/2023,2/28/2023,40,Plant Closure
1,Macy's,"710 Russell Avenue Ste 5 Gaithersburg, MD 20877",1/5/2023,3/18/2023,111,Plant Closure
2,"AptarGroup, Inc.","1450 S. Rolling Road Halethorpe, MD 21227",1/26/2023,3/27/2023,19,Plant Closure
3,"The Joseph A. Bank Mfg. Co., Inc.","500 Hanover Pike Hampstead, MD 21074",1/31/2023,4/4/2023,51,Plant Closure
4,"American Medical Response, Mid-Atlantic Inc.","1900 Landsdowne Road Halethorpe, MD 21227",2/1/2023,3/27/2023,90,Plant Closure
5,EagleBank,"6010 Executive Boulevard Rockville, MD 20852",2/15/2023,4/7/2023,36,Mass Layoff
6,"Skyworks Solutions, Inc.","5520 Adamstown Road Adamstown, MD 21710",2/16/2023,4/17/2023,129,Plant Closure
7,Continuum Global Solutions,"10701 New Georges Creek Road SW Suite 16 Frostburg, MD 21532",2/17/2023,4/18/2023,51,Mass Layoff - No Recall
8,Hunter Douglas,"1 Hunter Douglas Dr. SE Cumberland, MD 21502",2/22/2023,2/13/2023,60,Mass Layoff - No Recall
9,Continuum Global Solutions,"10701 New Georges Creek Rd SW Suite 16 Frostburg, MD 21532",2/24/2023,4/24/2023,51,Mass Layoff - No Recall
10,Sikorsky (a Lockheed Martin Company),"47765 Ranch Road HGR 101 Patuxent River, MD 20670",2/28/2023,4/27/2023,176,Mass Layoff - No Recall
11,Hunter Douglas,"1 Hunter Douglas Dr. SE Cumberland, MD 21502",3/8/2023,7/28/2023,361,Plant Closure
12,"Adaptive Phage Therapeutics, Inc.","708 Quince Orchard Road Suite 205 Gaithersburg, MD 20878",3/10/2023,5/9/2023,22,Mass Layoff - No Recall
13,Target,"7501 Baltimore Avenue STE1 Store T3211 College Park, MD 20740",3/14/2023,5/13/2023,51,Plant Closure
14,Whole Foods Market Mid-Atlantic Seafood Facility,"1521 Cabin Branch Drive Landover, MD 20785",3/21/2023,5/20/2023,65,Plant Closure
15,Honeywell Intelligrated,"10331 S. Dolfield Road Owings Mills, MD 21117",3/29/2023,5/21/2023,18,Plant Closure
16,Nutramax Laboratories,"2208 Lakeside Blvd. Edgewood, MD 21040",3/29/2023,6/30/2023,43,Plant Closure
17,"Diageo North America, Inc.","5001 Washington Blvd. Relay, MD 21227",3/31/2023,6/9/2023,108,Plant Closure
18,CDF Corporation,"3701 Southwestern Blvd Baltimore, MD 21229",4/4/2023,6/30/2023,22,Plant Closure
19,"HMR of Maryland, LLC Charlotte Hall Veterans Home","29449 Charlotte Hall Rd. Charlotte Hall, MD 20622",4/11/2023,6/6/2023,233,Mass Layoff - No Recall
20,WestRock,"725 Pittman Road Curtis Bay, MD 21226",4/25/2023,7/3/2023,75,Plant Closure
21,"Bacchus Importers, LLC","1817 Portal Street Baltimore, Md 21224",4/27/2023,6/30/2023,73,Plant Closure
22,Shoppers,"1955 East Joppa Road Parkville, MD 21234",5/1/2023,7/15/2023,49,Plant Closure
23,"Triple Canopy, Inc.","1315 East West Highway Silver Spring, MD 20910",5/4/2023,5/31/2023,55,Mass Layoff - No Recall
24,"Bindagraphics, Inc.","2701 Wilmarco Avenue Baltimore, MD 21223",5/10/2023,7/9/2023,60,Plant Closure
25,Heartland Pharmacy of Maryland,"9070 Junction Drive, Suite E Annapolis Junction, MD 20701",5/12/2023,7/14/2023,40,Plant Closure
26,General Dynamics Information Technology,"6555 Rock Spring Drive Bethesda, MD 20817",5/22/2023,7/21/2023,60,Mass Layoff - No Recall
27,Flying Dog Brewery,"4607 Wedgewood Boulevard Frederick, MD 21703",5/24/2023,8/5/2023,63,Mass Layoff - No Recall
28,"Quantem Aviation Services (QAS), LLC","1007 Air Cargo Drive Baltimore, MD 21240",5/24/2023,7/16/2023,55,Mass Layoff - No Recall
29,Webb Mason Commercial,"10820 Gilroy Road Hunt Valley, MD 21031",6/1/2023,7/31/2023,21,Mass Layoff - No Recall
30,Monte Nido & Associates,"3100 Roxbury Mills Rd Glenwood, Maryland 21738",6/5/2023,6/30/2023,31,Plant Closure
31,"Ingram Entertainment, Inc.","8779 Greenwood Place Savage, MD 20763",6/6/2023,8/18/2023,14,Plant Closure
32,Watermark Retirement Communities,"55 W. Gude Drive Rockville, MD 20850",6/12/2023,8/8/2023,117,Mass Layoff - No Recall
33,"Sodexo, Inc and Affiliates","ProMedica Ruxton 7001 N Charles Street Towson, MD 21204",6/13/2023,8/8/2023,16,Plant Closure
34,"Sodexo, Inc and Affiliates","ProMedica Chevy Chase 8700 Jones Mill Rd Chevy Chase, MD 20815",6/13/2023,8/8/2023,17,Plant Closure
35,"Sodexo, Inc and Affiliates","ProMedica Silver Spring 2501 Musgrove Rd Silver Spring, MD 20904",6/13/2023,8/8/2023,14,Plant Closure
36,"Ellume USA, LLC","4930 Executive Court Frederick, MD 21703",6/16/2023,7/3/2023,37,Mass Layoff
37,"Medifast, Inc.","601 Sunrise Avenue Ridgely, MD 21660",6/20/2023,8/13/2023,83,Mass Layoff
38,EchoPark Automotive,"6001 Reisterstown Road Baltimore, MD 21215",6/20/2023,8/21/2023,34,Plant Closure
39,EchoPark Automotive,"8751 Freestate Drive Suite 100 Laurel, MD 20723",6/20/2023,8/21/2023,17,Plant Closure
40,"Ventech Solutions, Inc.","21 Governors Court Suite 250 Windsor Mill, MD 21244",7/12/2023,9/15/2023,168,Mass Layoff - No Recall
41,Autumn Lake Healthcare at South Haven,"2700 South Haven Road Annapolis, MD 21401",7/17/2023,7/7/2023,92,Plant Closure
42,"Ventra Health, Inc.","5100 Buckeystown Pike Suite 250 Frederick, MD 21704",7/19/2023,10/9/2023,34,Mass Layoff
43,General Dynamics Information Technology,"1430 Veterans Drive Frederick, MD 21702",8/1/2023,"09/29/23, 11/30/2023","9, 50",Mass Layoff - No Recall
44,"YRC, Inc. d/b/a YRC Freight","6311 East Lombard St. Baltimore, MD 21224",8/1/2023,7/30/2023,64,Plant Closure
45,"YRC, Inc. d/b/a YRC Freight","311 East Oak Ridge Dr. Hagerstown, MD 21740",8/1/2023,7/30/2023,98,Plant Closure
