,company_name,location,notice_date,employees_affected,URL
0,Maine General,"35 Medical Center Pkwy; Augusta, Maine 04330","Jan 10, 2023",23.0,https://joblink.maine.gov/search/warn_lookups/453
1,Presque Isle Inn,"116 Main Street; Presque Isle, Maine 04769","Jan 09, 2023",22.0,https://joblink.maine.gov/search/warn_lookups/454
2,Marden's,"1016 US Rt. 2; Rumford, Maine 04276","Jan 12, 2023",24.0,https://joblink.maine.gov/search/warn_lookups/455
3,The Pillars,"121 Main Street; Fairfield, Maine 04937","Jan 12, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/456
4,Aerotek (Abbott),"949 Brighton Avenue; Portland, Maine 04102","Feb 07, 2023",234.0,https://joblink.maine.gov/search/warn_lookups/457
5,Co-Worx Staffing (Abbott),"833 Portland Road; Saco, Maine 04072","Feb 03, 2023",460.0,https://joblink.maine.gov/search/warn_lookups/458
6,Manpower (Abbott),,"Feb 02, 2023",,https://joblink.maine.gov/search/warn_lookups/459
7,Athena Health,"Hatley Road; Belfast, Maine 04915","Feb 08, 2023",28.0,https://joblink.maine.gov/search/warn_lookups/460
8,Lavender Puff,"3 Water Street; Caribou, Maine 04736","Feb 01, 2023",4.0,https://joblink.maine.gov/search/warn_lookups/461
9,HW Staffing (Abbott Labs),"142 St. John Street; Portland, Maine 04102","Feb 15, 2023",40.0,https://joblink.maine.gov/search/warn_lookups/462
10,Pat's Pizza,,"Feb 24, 2023",,https://joblink.maine.gov/search/warn_lookups/463
11,Bon Appétit Mgmt,"4000 mayflower hill rd ; Waterville, Maine 04901","May 30, 2023",10.0,https://joblink.maine.gov/search/warn_lookups/491
12,ND Paper Old Town,"24 Portland St; Old Town, Maine 04468","Mar 30, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/465
13,Dollar Tree,"681 Bath Rd; Wiscasset, Maine 04578","Apr 03, 2023",6.0,https://joblink.maine.gov/search/warn_lookups/466
14,PCHC,"103 Maine Avenue; Bangor, Maine 04401","Apr 03, 2023",11.0,https://joblink.maine.gov/search/warn_lookups/467
15,It'll Be Pizza,"5 Lincoln Ave; Scarborough, Maine 04074","Apr 03, 2023",14.0,https://joblink.maine.gov/search/warn_lookups/468
16,David's  Bridal,"374 Maine Mall Rd; South Portland, Maine 04106","Apr 14, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/469
17,Tall Pines Nursing Home,"24 Martin Ln; Belfast, Maine 04915","Apr 18, 2023",45.0,https://joblink.maine.gov/search/warn_lookups/470
18,Puritan Medical Products,"31 School St; Hampden, Maine 04444","Apr 18, 2023",55.0,https://joblink.maine.gov/search/warn_lookups/472
19,Bed Bath and Beyond,"490 Stillwater ave; Bangor, Maine 04401","Apr 23, 2023",20.0,https://joblink.maine.gov/search/warn_lookups/473
20,Unum,"2211 Congress St ; Portland, Maine 04102","Apr 18, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/474
21,Tyson Foods/ Barber Foods,"56 Milliken st ; Portland, Maine 04102","Apr 18, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/475
22,York County Community Action Corp,,"Apr 18, 2023",,https://joblink.maine.gov/search/warn_lookups/476
23,Bed Bath and Beyond,"200 running hill rd ; South Portland, Maine 04106","Apr 24, 2023",20.0,https://joblink.maine.gov/search/warn_lookups/477
24,KeyBank,"135 main st ; Freeport, Maine 04032","May 01, 2023",4.0,https://joblink.maine.gov/search/warn_lookups/478
25,Stonewall kitchen,"2 Stonewall Lane; York, Maine 03909","May 01, 2023",9.0,https://joblink.maine.gov/search/warn_lookups/479
26,AMS LLC/Gagne Foods,"25 wing farm pkwy ; Bath, Maine 04530","May 08, 2023",30.0,https://joblink.maine.gov/search/warn_lookups/480
27,KeyBank,"214 Madison Ave ; Skowhegan, Maine 04976","May 08, 2023",6.0,https://joblink.maine.gov/search/warn_lookups/481
28,KeyBank,"40 Front St. ; Bath, Maine 04530","May 05, 2023",4.0,https://joblink.maine.gov/search/warn_lookups/482
29,C & L Aviation,"40 wyoming ave ; Bangor, Maine 04401","Jun 02, 2023",40.0,https://joblink.maine.gov/search/warn_lookups/492
30,GVS North,"63 Community Dr; Sanford, Maine 04073","May 15, 2023",12.0,https://joblink.maine.gov/search/warn_lookups/484
31,Save-a-Lot,,"May 08, 2023",,https://joblink.maine.gov/search/warn_lookups/485
32,Abbott Rapid Diagnostics,"5 bradley dr ; Westbrook, Maine 04092","May 16, 2023",199.0,https://joblink.maine.gov/search/warn_lookups/486
33,Livermore Falls Baking Company,"49 gilbert st; Livermore Falls, Maine 04254","May 23, 2023",10.0,https://joblink.maine.gov/search/warn_lookups/487
34,Days Inn Kittery,"85 US-1 BYP; Kittery, Maine 03904","May 18, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/488
35,Abbott Rapid Diagnostics,,"Mar 01, 2023",,https://joblink.maine.gov/search/warn_lookups/489
36,American Roots Wear,"90 bridge st ; Westbrook, Maine 04092","May 22, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/490
37,G-Force Entertainment,"663 Stillwater ave , Suite 1180A; Bangor, Maine 04401","Jun 07, 2023",12.0,https://joblink.maine.gov/search/warn_lookups/493
38,J.S. McCarthy Printing,"15 Darin Dr,; Augusta, Maine 04330","Jun 12, 2023",10.0,https://joblink.maine.gov/search/warn_lookups/494
39,Jotul North America,,"Jun 06, 2023",,https://joblink.maine.gov/search/warn_lookups/495
40,Bitwise Industries,,"Jun 14, 2023",,https://joblink.maine.gov/search/warn_lookups/496
41,Yale Cordage,"77 Industrial Park Rd ; Saco, Maine 04072","Jun 22, 2023",9.0,https://joblink.maine.gov/search/warn_lookups/497
42,Puritan Medical Products,"North Main Street; Pittsfield, Maine 04967","Jun 28, 2023",254.0,https://joblink.maine.gov/search/warn_lookups/471
43,Maine Veterinary Medical Center,"1500 Technology Way ; Scarborough, Maine 04074","Jul 05, 2023",13.0,https://joblink.maine.gov/search/warn_lookups/498
44,Courtland Rehab & Living Center,,"Jul 12, 2023",,https://joblink.maine.gov/search/warn_lookups/502
45,Mid State Machine Products,"83 Verti Dr; winslow, Maine 04901","Jul 21, 2023",7.0,https://joblink.maine.gov/search/warn_lookups/503
46,Mermaid Transportation,"985 Portland Rd ; Saco, Maine 04072","Jul 05, 2023",10.0,https://joblink.maine.gov/search/warn_lookups/504
47,T Mobile,"133 First Park Dr ; Oakland, Maine 04963","Sep 07, 2023",21.0,https://joblink.maine.gov/search/warn_lookups/518
48,The Christmas Tree Shops,"42 Whitten Rd ; Augusta, Maine 04330","Jul 05, 2023",38.0,https://joblink.maine.gov/search/warn_lookups/499
49,The Christmas Tree Shops,"490 Payne Rd ; Scarborough, Maine 04074","Jul 05, 2023",31.0,https://joblink.maine.gov/search/warn_lookups/500
50,The Christmas Tree Shops,"46 Springer Dr ; Bangor, Maine 04401","Jul 05, 2023",0.0,https://joblink.maine.gov/search/warn_lookups/501
51,Made In Downeast Maine,"248 State Street ; Ellsworth, Maine 04605","Sep 20, 2023",2.0,https://joblink.maine.gov/search/warn_lookups/519
52,Subway- Hampden,"7 Western Ave ; Hampden, Maine 04444","Sep 18, 2023",15.0,https://joblink.maine.gov/search/warn_lookups/520
53,The Portland Pheonix,"251 US RT 1 ; Falmouth, Maine 04105","Jul 26, 2023",7.0,https://joblink.maine.gov/search/warn_lookups/521
54,Yellow Corporation,,"Jul 30, 2023",,https://joblink.maine.gov/search/warn_lookups/506
55,Yellow Corporation,"75 Eisenhower Dr; Westbrook, Maine 04092","Jul 30, 2023",16.0,https://joblink.maine.gov/search/warn_lookups/505
56,Major's Appliance Service,"680 Maine St ; Farmingdale, Maine 04344","Aug 21, 2023",9.0,https://joblink.maine.gov/search/warn_lookups/507
