,company_name,location,notice_date,employees_affected,Incident Type
0,Concentrix Corporation,Auburn Hills,1/3/2023,125,Facility Closing
1,PROSPECT AIRPORT SERVICES INC,Detroit,1/6/2023,516,Layoff
2,Proper Group Holdings LLC,Warren,1/6/2023,130,Facility Closing
3,Clover Imaging LLC,Ithaca,1/12/2023,82,Layoff
4,MONITRONICS INTERNATIONAL INC,Belleville,1/13/2023,1,Layoff
5,"Inteva Products, Inc.",Adrian,1/13/2023,149,Layoff
6,Concentrix Corporation,Farmington,1/23/2023,161,Facility Closing
7,MARSHALL EXCELSIOR CO INC,Marshall,1/30/2023,81,Layoff
8,FINLANDIA UNIVERSITY,Hancock,3/6/2023,137,Facility Closing
9,FUNCTION INC,Caledonia,3/15/2023,68,Facility Closing
10,YELLOW CORPORATION,Taylor,3/16/2023,105,Facility Closing
11,EYM KING OF MICHIGAN LLC,Detroit,3/23/2023,424,Facility Closing
12,RAPID FINANCIAL SERVICES LLC,Detroit,3/24/2023,51,Layoff
13,SANDLER TRAVIS TRADE ADVISORY,Southfield,3/31/2023,82,Facility Closing
14,FLINT AND GENESEE CHAMBER OF,Flint,4/3/2023,90,Layoff
15,HOME POINT FINANCIAL,Ann Arbor,4/11/2023,113,Layoff
16,PHILLIE BRIDALS INC,Statewide,4/14/2023,217,Facility Closing
17,DAWSON MANUFACTURING COMPANY,Benton Harbor,4/21/2023,90,Facility Closing
18,LEAR CORP,Detroit,5/3/2023,332,Facility Closing
19,LEAR CORP,Detroit,5/3/2023,226,Facility Closing
20,LORDSTOWN MOTORS CORP,Farmington,5/9/2023,149,Layoff
21,ILLINOIS TOOL WORKS INC,Holland,5/30/2023,171,Facility Closing
22,TUBULAR METAL SYSTEMS LLC,Pinconning,5/31/2023,65,Facility Closing
23,Grouper Acquisition Company LLC,Warren,6/2/2023,107,Facility Closing
24,QUALITY SPRING/TOGO INC,Coldwater,6/12/2023,90,Facility Closing
25,AUTISM HOME SUPPORT SERVICES,Northville,6/20/2023,116,Layoff
26,HENRY FOX SALES COMPANY,Grand Rapids,7/13/2023,114,Facility Closing
27,WEST MICHIGAN MOLDING INC,Grand Haven,7/20/2023,134,Facility Closing
28,FCA US LLC,Dundee,7/20/2023,611,Layoff
29,Yellow Corporation,Taylor,8/1/2023,654,Facility Closing
30,"MINNIE MARIE BAKERS, INC.",Livonia,8/3/2023,93,Facility Closing
31,Kelsey Hospital,Lakeview,8/7/2023,108,Facility Closing
32,ALEXANDER & HORNUNG INC,Saint Clair Shores,8/16/2023,132,Facility Closing
33,THRIVEWORKS ADMINISTRATIVE,Lynchburg,9/15/2023,78,Layoff
34,NEWCOR INC,STATEWIDE,9/15/2023,293,Layoff
35,EAGLE INDUSTRIES INC,Wixom,9/21/2023,60,Layoff
36,SODECIA AUTOMOTIVE DETROIT,Center Line,9/25/2023,143,Layoff
37,CASCADES ENVIROPAC HPM LLC,Grand Rapids,9/28/2023,35,Facility Closing
38,MCLAREN HOME MEDICAL EQUIPMENT,Cheboygan,9/29/2023,10,Facility Closing
39,Central Lake Armor Express Inc,Central Lake,1/11/2022,72,Facility Closing
40,Penske Logistics LLC,Flint,1/25/2022,146,Facility Closing
41,Lear Corporation,Roscommon,1/28/2022,71,Layoff
42,Peloton Inc,Warren,2/18/2022,56,Layoff
43,Assemble Rite LTD,Detroit,3/16/2022,250,Facility Closing
44,Pretium Packaging LLC,Ypsilanti,3/25/2022,53,Facility Closing
45,Robinson Industries,Coleman,4/8/2022,94,Layoff
46,SodexoMAGIC,Saginaw,4/8/2022,63,Layoff
47,Mitsubishi Chemical - Performance Polymers Division,Warren,4/13/2022,80*,Facility Closing
48,Palisades Power Plant,Covert,4/13/2022,184,Facility Closing
49,DHL Supply Chain (USA),Mount Clemens,4/14/2022,202,Facility Closing
50,Fluid Routing Solutions LLC,Big Rapids,5/2/2022,60,Layoff
51,Michigan Public Health,Okemos,5/13/2022,67,Layoff
52,Penske Logistics LLC,Romulus,5/19/2022,426,Layoff
53,Dynamic BDC,Troy,5/31/2022,175,Layoff
54,Jervis B. Webb Company,Harbor Springs/Boyne City,6/1/2022,126,Layoff
55,Magna Powertrain,Lansing,6/10/2022,92,Layoff
56,Bon Appetit Management Co.,Hillsdale,7/19/2022,67,Facility Closing
57,Resonetics,Mount Clemens,8/1/2022,91,Facility Closing
58,North Lake Correctional Facility,Baldwin,8/3/2022,89,Facility Closing
59,MV Transportation,Grand Rapids,8/10/2022,49,Facility Closing
60,NBHX Trim Corporation,Comstock Park,8/26/2022,74,Facility Closing
61,Homepoint,Ann Arbor,8/31/2022,217,Layoff
62,Pink Energy,Troy,9/12/2022,Unreported,Facility Closing
63,Second Samuel Transport Inc.,Statewide,9/15/2022,145,Facility Closing
64,Dunn Paper,Port Huron,9/23/2022,125,Facility Closing
65,DETDSP,Plymouth,9/27/2022,98,Layoff
66,FCA US - Warren Truck Assembly Plant,Warren,10/12/2022,"1,215",Layoff
67,Wayne Metropolitan Community Action Agency,Detroit,10/26/2022,113,Layoff
68,"Argo AI, LLC",Allen Park,10/27/2022,173,Facility Closing
69,Booking.Com,Grand Rapids,10/31/2022,226,Facility Closing
70,Pace Industries Inc,Muskegon,11/1/2022,389,Facility Closing
71,Faurecia,Highland Park,12/1/2022,268,Facility Closing
72,Amerifirst Mortgage,Portage,12/15/2022,59,Layoff
73,Great Lakes Tissue Company,Cheboygan,12/22/2022,51,Layoff
74,The Dearborn Inn,Dearborn,1/3/2023,133,Layoff
75,Sky Chefs,Detroit,2/3/2021,334,Facility Closing
76,"Pitney Bowes Presort Services, Inc.",Pontiac,2/9/2021,62,Facility Closing
77,JD NORMAN INDUSTRIES,Leslie,3/8/2021,56,Facility Closing
78,SodexoMAGIC,Saginaw,4/26/2021,6,Facility Closing
79,Aramark Food & Supply Service,Mount Pleasant,5/6/2021,174,Layoff
80,FEDERAL MOGUL PISTON RINGS LLC,Sparta,5/11/2021,78,Facility Closing
81,"Progenity, Inc",Ann Arbor,6/4/2021,110,Layoff
82,"Metaldyne Powertrain Components, LLC",Litchfield,6/30/2021,23,Facility Closing
83,CHERRY CENTRAL COOPERATIVE INC,Shelby,7/2/2021,70,Facility Closing
84,Great Lakes Coca-Cola Distribution,Detroit,8/3/2021,131,Facility Closing
85,"FIRST NATION GROUP, LLC",Detroit,10/7/2021,35,Facility Closing
86,McKesson,Livonia,10/19/2021,86,Facility Closing
87,Champion Bus Facility,Imlay City,10/19/2021,102,Facility Closing
88,CHANGE HEALTHCARE,Clinton Township,12/1/2021,108,Layoff
89,"DST Industries, Inc.",Romulus,1/14/2020,122,Plant Closing
90,Cameron Valves & Process Systems,Muskegon,1/21/2020,64,Plant Closing
91,Syncreon,Warren,1/24/2020,84,Plant Closing
92,Latcha And Associates L.L.C.,Farmington Hills,1/27/2020,66,Mass Layoff
93,Hemisphere Design Works,Muskegon,1/28/2020,42,Plant Closing
94,Gill Industries Inc.,Grand Rapids,1/29/2020,59,Plant Closing
95,GM-UAW Center for Human Resources,Detroit,1/30/2020,71,Mass Layoff
96,"Exel, Inc. DBA DHL Supply Chain (USA)",Detroit,2/10/2020,144,Plant Closing
97,Gerdau-Jackson,Jackson,2/10/2020,140,Mass Layoff
98,"Bear Down Logistics Michigan, Inc.",Walker,2/18/2020,110,Plant Closing
99,Alticor,Ada,2/19/2020,209,Mass Layoff
100,Penske Logistics,Coldwater,2/25/2020,121,Plant Closing
101,Peterson Spring,Madison Heights,2/28/2020,60,Plant Closing
102,"Shenandoah Growers, Inc.",Shelbyville,3/2/2020,78,Plant Closing
103,Art Van,Statewide,3/6/2020,979,Plant Closing
104,"Walmart, Inc.",Ypsilanti,3/5/2020,226,Plant Closing
105,Alutiiq,Detroit,3/16/2020,117,Plant Closing
106,DTW North Partners LLC,Detroit,3/20/2020,85,Plant Closing
107,"HBF APU JV II, LLC",Detroit,3/20/2020,313,Mass Layoff
108,Worthington Specialty Processing,Canton,3/19/2020,66,Plant Closing
109,Marriott Auburn Hills Pontiac at Centerpoint,Pontiac,3/23/2020,134,Mass Layoff
110,Rusty Bucket Restaurant & Tavern,Various,3/23/2020,260,Mass Layoff
111,"Cameron Mitchell Restaurants, LLC",Troy,3/23/2020,100,Mass Layoff
112,Mann+Hummel,Portage,3/24/2020,377,Mass Layoff
113,International Automotive Components (IAC),Mendon,3/24/2020,311,Plant Closing
114,"IAC Alma, LLC",Alma,3/24/2020,91,Mass Layoff
115,ZF Chassis Components,Lapeer,3/24/2020,240,Mass Layoff
116,Detroit Foundation Hotel,Detroit,3/26/2020,111,Mass Layoff
117,"Faith Plastics, Inc.",Marcellus,3/26/2020,53,Mass Layoff
118,Bluebell Mattress Company,Roseville,3/26/2020,80,Plant Closing
119,YMCA of Metropolitan Detroit,Various,3/26/2020,"1,318",Mass Layoff
