,company_name,location,layoff_date,employees_affected,Industry,Type
0,North America Savings Bank,CottlevilleGarden CityLawsonLexingtonOzarkPeculiarRollaSpringfieldWaverlyWentzville,03/07/2023,85.0,Financial Services,Layoff
1,HealthHelp,Independence,03/24/2023,1.0,Healthcare,Closing
2,Christian Horizon Living LLC,Joplin,04/22/2023,63.0,Healthcare,Closing
3,"CHEP Services, LLC",Kansas City,05/02/2023,100.0,Logistics,Loss of Contract
4,Bon Appetit Management Company,St. Louis (city),05/18/2023,342.0,Food Service,Loss of Contract
5,DHL eCommerce,St. Louis (city),06/03/2023,75.0,Logistics,Closing
6,Orscheln / Tractor Supply,Moberly,05/21/2023,122.0,Retail,Closing
7,Aspiration,BallwinSt. PetersMaryland Heights,05/26/2023,4.0,Information Technology,Company Restructure
8,Cardinal Health,Moberly,05/31/2023,131.0,Manufacturing,Closing
9,David's Bridal,St. PetersBlue SpringsSpringfieldSunset HillsKansas CityColumbia,06/12/2023,,Retail,Closing
10,Salt & Smoke,St. CharlesSt. Louis (city),06/28/2023,,Food Service,Company Restructure
11,Revere Plastics Systems LLC,Poplar Bluff,07/02/2023,79.0,Manufacturing,Closing
12,Deluxe Corporation,Maryville,07/28/2023,57.0,Corporate Services,Closing
13,MPW Industrial Services,Claycomo,06/15/2023,84.0,Maintenance Services,Loss of Contract
14,"EDP Enterprises, INC",Fort Leonard Wood,06/15/2023,948.0,Food Service,Loss of Contract
15,Windsor Estates,St. Charles,07/31/2023,85.0,Healthcare,Closing
16,Bitwise Industries,Kansas City,06/14/2023,1.0,Information Technology,Layoff
17,GKN Aerospace,Hazelwood,08/25/2023 10/06/2023 12/31/2024,715.0,Aerospace Product/Parts Manufacturing,Closing
18,PBS Radiology,Kansas CityHigh Ridge,09/06/2023,2.0,Healthcare,Layoff
19,WestRock Company,St. Louis (city),09/15/2023,52.0,Manufacturing,Closing
20,Soft Surroundings,Mexico,09/01/2023,80.0,Clothing Distribution,Closing
21,Smithfield Foods,LucernePrincetonNewtown,10/08/2023,92.0,Meat Processing,Closing
22,Tyson Foods,Noel,10/20/2023,1513.0,Poultry Processing,Closing
23,Tyson Foods,Dexter,10/13/2023,683.0,Poultry Processing,Closing
24,South City Hospital,St. Louis (city),08/03/2023,563.0,Healthcare,Closing
25,Divvy Homes,,11/07/2023,1.0,Real Estate,Company Restructure
26,Soft Surroundings,St. Louis (city),11/18/2023,181.0,Clothing Distribution,Closing
27,First Savings Bank,Liberty,11/30/2023,1.0,Financial Services,Layoff
28,"Propak Logistics, LLC",Jackson,12/08/2023,93.0,Warehouse Logistics,Closing
29,CareFusion Corporation,St. Louis (city),12/18/2023,148.0,Surgical/Medical Instrument Manufacturing,Layoff
30,"Nestle Regional GLOBE Office North America, INC (NRGONA)",St. Louis (city),03/18/2022,138.0,Manufacturing,Layoff
31,"Premier Glass USA, LLC",Park Hills,03/31/2022,243.0,Manufacturing,Closing
32,Noble Health - Callaway Community Hospital,Fulton,04/01/2022,68.0,Healthcare,Furlough
33,Noble Health - Audrain Community Hospital,Mexico,04/01/2022,113.0,Healthcare,Furlough
34,StarTek,Farmington,05/29/2022,472.0,Call Center,Layoff
35,Pretium Packaging LLC,Hermann,05/20/2022,73.0,Manufacturing,Closing
36,Amentum PAE NBC,Lee’s Summit,08/13/2022,537.0,Business Services,Loss of Contract
37,CDI Head Start,Clinton,09/30/2022,66.0,Education,Loss of Contract
38,Allied Healthcare Products,St. Louis (city),02/21/2023 07/08/2023,160.0,Manufacturing,Closing
39,HMS Host - Kansas City,Kansas City,02/27/2023,170.0,Food Service,Loss of Contract
40,Wyndham Vacation Ownership,Branson,01/08/2021,12.0,Travel - Vacation Rental,Layoff
41,ABM Aviation,St. Louis (city),02/28/2021,85.0,,Layoff
42,American Airlines,St. Louis (city),04/01/2021,1173.0,Travel - Airline,Layoff
43,Graham Packaging,North Kansas City,06/03/2021,67.0,Manufacturing,Layoff
44,Great Circle,Webster Groves,05/01/2021,117.0,Residential Treatment,Layoff
45,Pomeroy,,04/30/2021,16.0,,Closing
46,National Express LLC DBA Durham School Services,Wright City,07/14/2021,47.0,Transportation,Layoff
47,Pacific Architects and Engineers (PAE),Lee’s Summit,05/31/2021 11/30/2021,521.0,Government Services Contractor,Layoff
48,"ABM Industry Groups, LLC WARN notice 04/2021",St. Louis (city),05/31/2021,100.0,Facilities Services/Janitorial,Layoff
49,Ascension Technologies,St. Louis (city),08/08/2021,651.0,Healthcare IT Services,Layoff
50,Masonite Corporation,Springfield,07/02/2021,63.0,Manufacturing,Layoff
51,Associated Couriers,Hazelwood,07/09/2021,67.0,Delivery Services,Layoff
52,Leadec Corp.,Wentzville,08/01/2021,146.0,Manufacturing Services Support,Layoff
53,Adient,Riverside,02/05/2021,213.0,Automotive Manufacturing,Layoff
54,"Yanfeng USA Automotive Trim Systems, Inc",Riverside,02/08/2021,427.0,Automotive Manufacturing,Layoff
55,TIMET,Wentzville,09/14/2021,42.0,Metal Processing,Layoff
56,Nesher Pharmaceutical,Maryland HeightsBridgeton,08/20/2021,111.0,Pharmaceutical Production,Layoff
57,Rise Baking,Mexico,09/30/2021,124.0,Bakery,Layoff
58,Ascension Technologies,St. Louis (city),11/19/2021,18.0,Healthcare Information Technology Services,Layoff
