,company_name,location,notice_date,employees_affected
0,Bank of the West,Omaha,11/02/2023,41
1,Cardinal Health,Norfolk,10/30/2023,2
2,"Cygnus Home Service, LLC","Cozad, Crete, Gering, Gretna, Kearney",10/25/2023,41
3,Cardinal Health,Norfolk,10/16/2023,10
4,First Savings Bank,remote location,09/29/2023,1
5,Cardinal Health,Norfolk,09/25/2023,14
6,Bank of the West,Omaha,09/19/2023,143
7,"Becton, Dickinson and Company",Holdrege,08/15/2023,107
8,Bank of the West,Omaha,07/10/2023,100
9,"Honor Technology, Inc.","Lincoln, Omaha, and remote locations",06/22/2023,114
10,Multi-Color Corporation,Omaha,06/14/2023,61
11,"Bitwise Industries, Inc.",Sarpy County,06/14/2023,1
12,"David's Bridal, LLC","Lincoln, Omaha",06/12/2023,
13,"Enrollease, LLC",Omaha,05/01/2023,17
14,"David's Bridal, LLC","Lincoln, Omaha",04/14/2023,
15,"Omaha Steaks International, Inc.",Snyder,03/15/2023,65
16,Nebraska Book Company,Lincoln,03/01/2023,242
17,"Malco Products, SBC, Inc.",DeWitt,"12/19/2022  
  11/02/2022",63
18,PSSI Food Safety Solutions: JBS USA,Grand Island,12/13/2022,181
19,"Spreetail, LLC","Lincoln, Omaha and remote locations",10/31/2022,220
20,"Bosch Security Systems, LLC",Lincoln,9/8/2022,75
21,"Omaha Anesthesia Associates, LLC",Omaha,6/22/2022,186
22,Select Medical,Lincoln,10/11/2021,93
23,AGCO Corporation,Omaha,7/15/2021,101
24,"Pall Filter Specialists, Inc.",Grand Island,10/27/2020,84
25,P.F. Chang's China Bistro,Omaha,9/18/2020,75
26,Marriott Corporate (Marcus),"The Lincoln Marriott
Cornhusker Hotel",8/4/2020,19
27,Travel and Transport,Omaha,7/23/2020,49
28,Hilton - Omaha,Omaha,7/17/2020,39
29,XPO Logistics Supply Chain - Revision,Omaha - Giles Road,7/20/2020,67
30,Alamo Drafthouse Cinema Corp.,Omaha Midtown,7/9/2020,71
31,"Specialty Retailers, Inc. (Gordman's)",Omaha,7/2/2020,84
32,Marriott Corporate (Marcus),"The Lincoln Marriott
Cornhusker Hotel",6/25/2020,79
33,Marriott Corporate (Marcus),Omaha Marriott Downtown,6/4/2020,86
