,company_name,location,notice_date,layoff_date,employees_affected
0,Bartlo Packaging,Passaic,January,2023-03-31 00:00:00,50
1,Hackensack Meridian Ambulatory Care Inc,Red Bank,January,2023-03-31 00:00:00,108
2,Bonduelle (Ready Pac Produce Inc),Florence,January,2023-05-01 00:00:00,309
3,Harmon Stores Inc,Totowa,January,2023-04-01 00:00:00,262
4,Blue Line Containers LLC,Keasby,January,2023-01-15 00:00:00,5
5,Jako Enterprises LLC,Secaucus,January,2023-05-01 00:00:00,116
6,BAREWEB LLc,Edison,January,2023-04-28 00:00:00,87
7,Nelson Laboratories LLC,Fairfield,January,2023-04-28 00:00:00,66
8,Ashland Inc,South Hackensack,January,2023-04-30 00:00:00,10
9,Eisai Inc,Nutley,January,2023-04-30 00:00:00,91
10,Bed Bath & Beyond,Port Reading,January,2023-03-28 00:00:00,572
11,Celularity Inc,Florham Park,January,2023-03-27 00:00:00,188
12,1266 Apartment Corp.,Fort Lee,February,2023-04-07 00:00:00,81
13,Advanced Drainage Systems,Logan Township,February,2023-04-03 00:00:00,59
14,Bed Bath & Beyond,Secaucus,February,2023-04-05 00:00:00,84
15,The Computer Merchant LTD,"Norwell, ME",February,2023-05-05 00:00:00,37
16,Misfits Market Inc,Delanco,February,2023-04-08 00:00:00,446
17,Staffing Solutions Organization LLC,"Albany, NY",February,2023-05-05 00:00:00,58
18,Bed Bath & Beyond,Union,February,2023-04-09 00:00:00,377
19,Enable Inc.,Princeton,February,2023-04-10 00:00:00,243
20,First Transit,Newark,February,2023-04-09 00:00:00,289
21,Walmart,Pedricktown,February,2023-06-02 00:00:00,201
22,Avantor Fluid Handling LLC,Eatontown,March,2023-06-01 00:00:00,50
23,Thermo Fisher Scientific,Princton,March,2023-06-16 00:00:00,113
24,Homebridge,South Iselin,March,2023-06-26 00:00:00,139
25,Kiss Distribution Corp,Piscataway,April,2023-06-30 00:00:00,52
26,Aero Farms Inc,Newark,April,2023-06-05 00:00:00,82
27,Coherent,Warren,April,2023-07-12 00:00:00,127
28,ID Logistics US Inc,Avenel,April,2023-07-14 00:00:00,67
29,Remarkable Foods Hospitality LLC,West Orange,April,2023-07-11 00:00:00,70
30,Enzo Clinical Labs Inc,Hasbrouck Heights,April,2023-07-17 00:00:00,43
31,IEH Auto Parts LLC,"Kennesaw, GA",April,2023-04-22 00:00:00,56
32,Roche Molecular Systems Inc,Branchburg,April,2023-07-25 00:00:00,165
33,Bed Bath & Beyond | Buy Buy Baby Inc | BBB Value Services,Union,April,2023-06-26 00:00:00,1293
34,Bristol Myers Squibb,Princeton,April,2023-05-31 00:00:00,48
35,Amazon (remote workers ),Jersey City,May,2023-07-17 00:00:00,2
36,Amazon (remote workers ),Jersey City,May,2023-07-25 00:00:00,36
37,Amazon (warehouse workers),Jersey City,May,2023-07-25 00:00:00,55
38,UBS,Weehawken,May,2023-08-20 00:00:00,51
39,PTC Therapeutics Inc.,Plainfield,May,2023-08-21 00:00:00,94
40,Meta Platforms Inc (formerly Facebook),Remote Location,May,2023-07-21 00:00:00,114
41,SDH Services East LLC,Voorhees,May,2023-08-26 00:00:00,93
42,David’s Bridal LLC,Multiple Locations - NJ,June,2023-08-26 00:00:00,227
43,Morgan Stanley,Multiple Locations - NJ,June,"08/15/2023, 8/22/2023",61
44,Verizon Corp. Resources Group LLL & other VZ Affiliates,Basking Ridge,June,2023-08-26 00:00:00,183
45,BioReference Health LLC,Elmwood park,June,2023-06-30 00:00:00,71
46,Siemens Healthcare Diagnostics Inc.,Flanders,June,2023-09-07 00:00:00,67
47,Children’s Place Services Company LLC,Secaucus,June,2023-07-14 00:00:00,138
48,AT&T,"Bedminister, Middletown, Paramus, and Mercer counties",June,2023-09-20 00:00:00,74
49,United Natural Foods Inc.,Logan Township,June,2023-10-03 00:00:00,60
50,Xtend Healthcare LLC,Remote Locations Throughout NJ,July,TBD,63
51,Christmas Tree Shops  -  Location  1,Springfield,July,7/7/23 - 8/2023,143
52,Chistmas Tree Shops   -   Location  2,Brick,July,7/7/23 - 8/2023,61
53,Chistmas Tree Shops   -   Location  3,Bridgewater,July,7/7/23 - 8/2023,40
54,Christmas Tree Shops  -  Location  4,Cherry Hill,July,7/7/23 - 8/2023,37
