,company_name,location,notice_date
0,Stroock & Stroock & Lavan LLP,New York City,11/2/2023
1,Essity Professional Hygiene Solutions LLC,Capital,11/2/2023
2,"AgeWell New York, LLC",Long Island,10/31/2023
3,MasTec Industrial,Finger Lakes,10/30/2023
4,CVS Health,New York City,10/27/2023
5,"TGH Employees LLC, d/b/a TAO Group Hospitality - LAVO Italian Restaurant and LAVO Nightclub",New York City,10/26/2023
6,"Berenberg Capital Markets, LLC",New York City,10/26/2023
7,Hilton JFK Hotel,New York City,10/26/2023
8,"TJX Companies, Inc. - Marshalls Store 1074",New York City,10/25/2023
9,"TJX Companies, Inc. d/b/a TJ Maxx Store",New York City,10/25/2023
10,Essity Professional Hygiene North America LLC,Capital,10/23/2023
11,Shop-Rite Supermarkets Inc.,Capital,10/23/2023
12,Mid-State Raceway Inc. dba Vernon Downs Casino Hotel,Mohawk Valley,10/19/2023
13,Forman Mills,New York City,10/17/2023
14,DYJ Logistics LLC d/b/a DYJ Logistics Group,New York City,10/17/2023
15,"Interstate Management Company, LLC dba Aimbridge",New York City,10/17/2023
16,"Avenues World Holdings, LLC",New York City,10/13/2023
17,"SIM Soho Manager, LLC",New York City,10/12/2023
18,"Credit Suisse Securities (USA) LLC; Credit Suisse Services (USA) LLC; Credit Suisse and Credit Suisse Asset Management, LLC",New York City,10/12/2023
19,"Caldwell Manufacturing Company North America, LLC",Finger Lakes,10/11/2023
20,"IM Soho Management, LLC d/b/a The Sixty Soho Hotel",New York City,10/6/2023
21,"ECR International, Inc.",Mohawk Valley,10/6/2023
22,"Indian Point Energy Center, Holtec Decommissioning International, LLC, Holtec Security International, LLC",Hudson Valley,10/6/2023
23,"GXO Warehouse Company, Inc.",Finger Lakes,10/4/2023
24,Universal Protection Service LLC,New York City,10/4/2023
25,Deutsch Inc.,New York City,10/3/2023
26,First Savings Bank,Long Island,10/2/2023
27,lululemon usa inc.,New York City,10/2/2023
28,"Equiniti Trust Company, LLC",New York City,9/29/2023
29,Target Corporation,New York City,9/29/2023
30,"TGH Employees LLC, d/b/a TAO Group Hospitality",New York City,9/29/2023
31,ABN AMRO USA,New York City,9/26/2023
32,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Hudson Valley,9/26/2023
33,WestRock,Long Island,9/20/2023
34,Weill Cornell Medical College d/b/a Weill Cornell Medicine,New York City,"
9/14/2023
"
35,Divvy Homes Inc.,New York City,9/14/2023
36,The King's College,New York City,9/13/2023
37,"Genesis Global Trading, Inc.",New York City,9/8/2023
38,"Pathway Vet Alliance, LLC dba Thrive Pet Healthcare/Veterinary Specialty and Emergency Services",Finger Lakes,8/25/2023
39,Management & Training Corporation (MTC) - New York Job Corps Center Wrap Around Services,New York City,8/25/2023
40,"Centerra Group, LLC with USMS 2nd Circuit Courts",Multiple,8/23/2023
