,company_name,location,notice_date,employees_affected,URL,Address
0,First Transit,Tulsa,"Apr 04, 2023",60.0,https://okjobmatch.com/search/warn_lookups/814,"1403 East 5th Court; Tulsa, Oklahoma 74120"
1,Interceramic Inc.,Oklahoma City,"Feb 23, 2023",8.0,https://okjobmatch.com/search/warn_lookups/812,"8016 NW 101st St; Oklahoma City, Oklahoma 73107"
2,Interceramic Inc.,Tulsa,"Feb 23, 2023",11.0,https://okjobmatch.com/search/warn_lookups/813,"9945 East 51st; Tulsa, Oklahoma 74146"
3,David's Bridal,Tulsa,"Apr 14, 2023",0.0,https://okjobmatch.com/search/warn_lookups/815,"10123 East 71st Street South; Tulsa, Oklahoma 74133"
4,DART/Solo,Ada,"Apr 20, 2023",,https://okjobmatch.com/search/warn_lookups/817,
5,Aspiration,Marina Del Rey,"May 24, 2023",1.0,https://okjobmatch.com/search/warn_lookups/818,"4551 Glencoe Ave, Suite 300; Marina Del Rey, California 90292"
6,Bitwise Industries Inc.,Fresno,"Jun 14, 2023",1.0,https://okjobmatch.com/search/warn_lookups/819,"700 Van Ness Ave; Fresno, California 93721"
7,Avantive Solutions,Tulsa,"Jun 12, 2023",30.0,https://okjobmatch.com/search/warn_lookups/820,"12902 East 51st Street; Tulsa, Oklahoma 74134"
8,ASM Global / SMG,Tulsa,"Aug 17, 2023",,https://okjobmatch.com/search/warn_lookups/821,
9,CoreCivic,Holdenville,"Jul 31, 2023",274.0,https://okjobmatch.com/search/warn_lookups/824,"6888 East 133rd Road; Holdenville, Oklahoma 74848"
10,David's Bridal,Oklahoma City,"Apr 14, 2023",0.0,https://okjobmatch.com/search/warn_lookups/816,"13740 North Penn Avenue; Oklahoma City, Oklahoma 73134"
11,AllianceHealth Woodward,Woodward,"Aug 31, 2023",260.0,https://okjobmatch.com/search/warn_lookups/822,"900 17th Street; Woodward, Oklahoma 73801"
12,"State of Oklahoma, Department of Veterans Affairs",Talihina,"Jul 26, 2023",80.0,https://okjobmatch.com/search/warn_lookups/823,"10014 SE 1138th Ave.; Talihina, Oklahoma 74571"
13,"HD Supply, Inc.",Tulsa,"Aug 10, 2023",53.0,https://okjobmatch.com/search/warn_lookups/825,"5727 S. Lewis Ave.; Tulsa, Oklahoma 74105"
14,Odle Management Group,Tulsa,"Aug 31, 2022",,https://okjobmatch.com/search/warn_lookups/807,
15,"Xanitos, Inc",Tulsa,"Sep 09, 2022",129.0,https://okjobmatch.com/search/warn_lookups/808,"1120 S. Utica; Tulsa, Oklahoma 74104"
16,"Terex USA, LLC",Oklahoma City,"Jan 11, 2022",106.0,https://okjobmatch.com/search/warn_lookups/791,"9528 W. I-40 Service Road; Oklahoma City, Oklahoma 73128"
17,Honeywell Aerospace,Tulsa,"Mar 22, 2022",47.0,https://okjobmatch.com/search/warn_lookups/793,"6930 N. Lakewood Ave; Tulsa, Oklahoma 74117"
18,Foggy Bottom Kitchens Roman Nose,Watonga,"Apr 27, 2022",25.0,https://okjobmatch.com/search/warn_lookups/794,"3236 S, OK-8A; Watonga, Oklahoma 73772"
19,Foggy Bottom Kitchens Lake Murray,Ardmore,"Apr 27, 2022",33.0,https://okjobmatch.com/search/warn_lookups/795,"3323 Lodge Road; Ardmore, Oklahoma 73401"
20,Foggy Bottom Kitchens Sequoyah,Hulbert,"Apr 27, 2022",32.0,https://okjobmatch.com/search/warn_lookups/796,"19808 Park 10; Hulbert, Oklahoma 74441"
21,Foggy Bottom Kitchens Quartz Mountain,Lone Wolf,"Apr 27, 2022",43.0,https://okjobmatch.com/search/warn_lookups/797,"22469 Lodge Road; Lone Wolf, Oklahoma 73655"
22,Foggy Bottom Kitchens Robber Cave,Wilburton,"Apr 27, 2022",65.0,https://okjobmatch.com/search/warn_lookups/798,"4654 NW 1027th Ave.; Wilburton, Oklahoma 74578"
23,Foggy Bottom Kitchens Beavers Bend,Broken Bow,"Apr 27, 2022",40.0,https://okjobmatch.com/search/warn_lookups/799,"4350 OK-259A; Broken Bow, Oklahoma 74728"
24,Superior Linen Service,Muskogee,"May 18, 2022",,https://okjobmatch.com/search/warn_lookups/800,
25,Armstrong Flooring,Stillwater,"May 20, 2022",128.0,https://okjobmatch.com/search/warn_lookups/801,"4115 North Perkins Road; Stillwater, Oklahoma 74075"
26,Hire Right,Tulsa,"Jul 01, 2022",16.0,https://okjobmatch.com/search/warn_lookups/802,"14002 E. 21st Street; Tulsa, Oklahoma 74134"
27,Watsonville Community Hospital,Watsonville,"Aug 15, 2022",1.0,https://okjobmatch.com/search/warn_lookups/805,"75 Nielson Street; Watsonville, California 95076"
28,Keeco,Bartlesville,"Sep 14, 2022",,https://okjobmatch.com/search/warn_lookups/809,
29,Alliance Health Clinton,Clinton,"Oct 03, 2022",192.0,https://okjobmatch.com/search/warn_lookups/811,"100 N 30th Street; Clinton, Oklahoma 73601"
30,Oldcastle BuildingEnvelope,Shawnee,"Dec 08, 2022",75.0,https://okjobmatch.com/search/warn_lookups/810,"10000 N. Harrison St; Shawnee, Oklahoma 74804"
31,Tetra Tech,Oklahoma City,"Jul 07, 2022",60.0,https://okjobmatch.com/search/warn_lookups/803,"3600 S. MacArthur Blvd.; Oklahoma City, Oklahoma 73179"
32,"Alutiiq Commercial Enterprises, LLC",Oklahoma City,"Jul 25, 2022",363.0,https://okjobmatch.com/search/warn_lookups/804,"Tinker Air Force Base; Oklahoma City, Oklahoma 73145"
33,Southern Star Express LLC,Oklahoma City,"Aug 25, 2022",63.0,https://okjobmatch.com/search/warn_lookups/806,"4401 C E. Hefner Rd.; Oklahoma City, Oklahoma 73131"
34,Sodexo,Langston,"May 13, 2021",108.0,https://okjobmatch.com/search/warn_lookups/785,"Hwy 33  East; Langston, Oklahoma 73050"
35,TDK Ferrites Corp,Shawnee,"Mar 31, 2021",150.0,https://okjobmatch.com/search/warn_lookups/792,"5900 North Harrison; Shawnee, Oklahoma 74804"
36,Exterran Energy Solutions,Broken Arrow,"Jan 13, 2021",0.0,https://okjobmatch.com/search/warn_lookups/780,"20602 E. 81st Street; Broken Arrow, Oklahoma 74014"
37,Noble Research Institute,Ardmore,"Mar 11, 2021",,https://okjobmatch.com/search/warn_lookups/777,
38,Meta Special Aerospace,Bethany,"Feb 08, 2021",0.0,https://okjobmatch.com/search/warn_lookups/778,"5600 Philip J. Rhoads Ave; Bethany, Oklahoma 73008"
39,GEO Secure Services/Great Plains Correctional Facility,Hinton,"Mar 19, 2021",231.0,https://okjobmatch.com/search/warn_lookups/779,"700 Sugar Creek Drive; Hinton, Oklahoma 73047"
40,Cancer Treatment Centers of America Tulsa,Tulsa,"Apr 01, 2021",330.0,https://okjobmatch.com/search/warn_lookups/781,"10109 East 79th Street; Tulsa, Oklahoma 74133"
41,Chesapeake Energy,Oklahoma City,"Feb 03, 2021",220.0,https://okjobmatch.com/search/warn_lookups/776,"PO Box 18496; Oklahoma City, Oklahoma 73154"
42,WPX Energy,Tulsa,"Apr 05, 2021",182.0,https://okjobmatch.com/search/warn_lookups/782,"3500 One Williams Center; Tulsa, Oklahoma 74172"
43,Flowserve,Tulsa,"Apr 29, 2021",52.0,https://okjobmatch.com/search/warn_lookups/783,"724 W. 41st St.; Tulsa, Oklahoma 74107"
44,"ABM Industry Groups, LLC",Cleveland,"May 11, 2021",,https://okjobmatch.com/search/warn_lookups/784,
45,Solaray LLC,Sapulpa,"Aug 05, 2021",88.0,https://okjobmatch.com/search/warn_lookups/786,"620 South Linden; Sapulpa, Oklahoma 74066"
46,Clear Edge Filtration Group,Tulsa,"Aug 17, 2021",80.0,https://okjobmatch.com/search/warn_lookups/787,"11607 E. 43rd Street North; Tulsa, Oklahoma 74116"
47,Hiland Dairy,Tulsa,"Jun 04, 2021",125.0,https://okjobmatch.com/search/warn_lookups/788,"215 North Denver Street; Tulsa, Oklahoma 74103"
48,Odle Management Group,Tulsa,"Oct 29, 2021",,https://okjobmatch.com/search/warn_lookups/789,
49,Bristow Medical Center,Bristow,"Oct 28, 2021",49.0,https://okjobmatch.com/search/warn_lookups/790,"700 W. 7th Street; Bristow, Oklahoma 74010"
50,"Vallourec Star, LP",,"Apr 06, 2020",112.0,https://okjobmatch.com/search/warn_lookups/670,
51,Halliburton,,"Apr 15, 2020",33.0,https://okjobmatch.com/search/warn_lookups/671,
52,Halliburton,,"Apr 06, 2020",350.0,https://okjobmatch.com/search/warn_lookups/672,
53,"Signal Peak Silica, LLC",,"Mar 30, 2020",87.0,https://okjobmatch.com/search/warn_lookups/674,
54,"NexTier Completion Solutions, Inc",,"Apr 09, 2020",,https://okjobmatch.com/search/warn_lookups/673,
55,Step Energy Services,,"Mar 31, 2020",19.0,https://okjobmatch.com/search/warn_lookups/666,
56,Everi,,"Mar 23, 2020",4.0,https://okjobmatch.com/search/warn_lookups/667,
57,UE Manufacturing,,"Mar 23, 2020",111.0,https://okjobmatch.com/search/warn_lookups/668,
58,Baker Hughes,,"Apr 15, 2020",,https://okjobmatch.com/search/warn_lookups/669,
59,Tulsa Auto Auction,,"Mar 23, 2020",58.0,https://okjobmatch.com/search/warn_lookups/675,
60,JC Penney,,"Feb 10, 2020",84.0,https://okjobmatch.com/search/warn_lookups/677,
61,SandRidge Energy,,"Feb 04, 2020",63.0,https://okjobmatch.com/search/warn_lookups/678,
62,SandRidge Energy,,"Apr 17, 2020",,https://okjobmatch.com/search/warn_lookups/679,
63,SandRidge Energy,,"Apr 16, 2020",26.0,https://okjobmatch.com/search/warn_lookups/680,
64,Cameron Drilling,,"Apr 23, 2020",74.0,https://okjobmatch.com/search/warn_lookups/681,
65,Energy Transfer,,"Jan 06, 2020",108.0,https://okjobmatch.com/search/warn_lookups/685,
66,Spirit Aerosystems,,"Jan 23, 2020",,https://okjobmatch.com/search/warn_lookups/691,
67,Enterprise Holdings,,"Apr 27, 2020",221.0,https://okjobmatch.com/search/warn_lookups/701,
68,EAN Services,,"Apr 27, 2020",108.0,https://okjobmatch.com/search/warn_lookups/702,
69,Hertz,,"Apr 28, 2020",415.0,https://okjobmatch.com/search/warn_lookups/703,
70,"Halliburton Energy Services, Inc.",,"Apr 28, 2020",,https://okjobmatch.com/search/warn_lookups/704,
71,Apergy,,"Apr 28, 2020",26.0,https://okjobmatch.com/search/warn_lookups/705,
72,Regal Cinemas,,"Apr 29, 2020",179.0,https://okjobmatch.com/search/warn_lookups/706,
73,Regal Cinemas,,"Apr 29, 2020",149.0,https://okjobmatch.com/search/warn_lookups/707,
74,Regal Cinemas,,"Apr 29, 2020",,https://okjobmatch.com/search/warn_lookups/708,
75,Ditch Witch,,"Apr 29, 2020",25.0,https://okjobmatch.com/search/warn_lookups/709,
76,umicore Autocat USA,,"May 04, 2020",101.0,https://okjobmatch.com/search/warn_lookups/713,
77,Dillard's,,"May 13, 2020",,https://okjobmatch.com/search/warn_lookups/714,
78,Triumph Aerospace Structures,,"May 08, 2020",225.0,https://okjobmatch.com/search/warn_lookups/715,
79,21C Museum Hotel,,"May 22, 2020",109.0,https://okjobmatch.com/search/warn_lookups/716,
80,SandRidge Energy,,"May 28, 2020",12.0,https://okjobmatch.com/search/warn_lookups/717,
81,Stone Trucking Company,,"Jun 03, 2020",51.0,https://okjobmatch.com/search/warn_lookups/718,
