,company_name,location,notice_date,layoff_date,employees_affected,Layoff Type
0,Yelloh -  Central Point,Central Point,2023-10-25 00:00:00,2023-12-15 00:00:00,6.0,Permanent closure
1,Yelloh - Eugene,Eugen,2023-10-25 00:00:00,2023-12-15 00:00:00,8.0,Permanent closure
2,Yelloh - Salem,Salem,2023-10-25 00:00:00,2023-12-15 00:00:00,7.0,Permanent closure
3,Yelloh - Tualitin,Tualitin,2023-10-25 00:00:00,2023-12-15 00:00:00,11.0,Permanent closure
4,Peace Health,Eugene,2023-10-19 00:00:00,2023-12-20 00:00:00,463.0,Permanent closure
5,Wilsonville Distribution Center,Wilsonville,2023-10-18 00:00:00,2024-01-03 00:00:00,136.0,Permanent closure
6,Grace ,Albany,2023-10-01 00:00:00,2024-06-30 00:00:00,23.0,Permanent closure
7,Grace ,Albany,2023-10-01 00:00:00,2024-03-31 00:00:00,11.0,Permanent closure
8,Grace ,Albany,2023-10-01 00:00:00,2023-12-31 00:00:00,61.0,Permanent closure
9,T3281 Store,Portland,2023-09-26 00:00:00,2023-12-30 00:00:00,40.0,Permanent closure
10,T3358 Store,Portland,2023-09-26 00:00:00,2023-12-30 00:00:00,56.0,Permanent closure
11,T3381 Store,Portland,2023-09-26 00:00:00,2023-12-30 00:00:00,62.0,Permanent closure
12,"American Nursery Services, Inc. ",Newberg,2023-09-05 00:00:00,2023-12-31 00:00:00,25.0,Permanent closure
13,"Divvy Homes, Inc","San Francisco, CA",2023-09-07 00:00:00,2023-11-07 00:00:00,94.0,Reduction
14,Walker Rd - Hillsboro,Hillsboro,2023-08-22 00:00:00,2023-12-29 00:00:00,3.0,Reduction
15,Bennett St. - Hillsboro,Hillsboro,2023-08-22 00:00:00,2023-12-29 00:00:00,2.0,Reduction
16,Walker Rd - Hillsboro,Hillsboro,2023-08-22 00:00:00,2023-12-01 00:00:00,1.0,Reduction
17,Walker Rd - Hillsboro,Hillsboro,2023-08-22 00:00:00,2023-11-17 00:00:00,1.0,Reduction
18,Walker Rd - Hillsboro,Hillsboro,2023-08-22 00:00:00,2023-10-20 00:00:00,158.0,Large Layoff - 10 or more workers
19,Bennett St. - Hillsboro,Hillsboro,2023-08-22 00:00:00,2023-10-20 00:00:00,159.0,Large Layoff - 10 or more workers
20,BOISE CASCADE ELGIN PLYWOOD MILL       ,ELGIN                         ,2023-08-16 00:00:00,2023-10-14 00:00:00,1.0,Other
