,company_name,location,notice_date,employees_affected
0,Renfro LLC,Laurens,3/5/2023,100.0
1,"MonitronicsInternational, Inc. (dbaBrinks Home)",York,3/5/2023,1.0
2,HealthHelp NurseTriage 24,York,3/24/2023,1.0
3,"Footprint SouthCarolina, LLC",Chester,3/29/2023,168.0
4,Parkdale Mills,Aiken,3/31/2023,102.0
5,"Phenix EngineeredTextiles, Inc.",Spartanburg,2/10/2023,30.0
6,"PeerStreet, Inc.",Richland,4/16/2023,2.0
7,"Fraenkische USA, LP",Anderson,4/1/2023 - 12/31/2023,164.0
8,TELUS International,Charleston,3/6/2023,266.0
9,DAK Americas PETResins,Berkeley,3/1/2023,125.0
10,Radius GlobalSolutions LLC,Richland,4/3/2023,1.0
11,Timken GaffneyBearing Plant,Cherokee,5/4/2023 - 12/31/2023,187.0
12,Morrsion Healthcare,Greenville,5/7/2023,72.0
13,Stanley Black &Decker,Chesterfield,5/19/2023 - 11/10/2023,179.0
14,"Aspiration Partners,Inc.",York,5/26/2023 - 6/1/2023,1.0
15,Transdev Servces,Charleston,6/30/2023,180.0
16,Cascades TissueGroup,Barnwell,7/28/2023,138.0
17,"WestRock Services,LLC",Charleston,8/30/2023,499.0
18,BD (C.R. Bard Inc.),Berkeley,5/8/2023,274.0
19,"Nielsen & Bainbridge,LLC",Berkeley,5/19/2023 - 7/14/2023,108.0
20,Sodexo,Newberry,5/31/2023,90.0
21,Transdev FleetServices (First VehicleServices),Beaufort,7/1/2023,13.0
22,Maysteel,Sumter,8/31/2023,70.0
23,Caraustar Industrial &,CYoonrskumer Products G,9/3/2023 - 10/30/2023,71.0
24,PBS Radiology Busine,sSs uEmxpteerrts,9/6/2023,1.0
25,Prisma Health,Richland,8/31/2023,266.0
26,Prisma Health,Greenville,8/31/2023,215.0
27,Prisma Health,Sumter,8/31/2023,61.0
28,Prisma Health,Oconee,8/31/2023,41.0
29,Prisma Health,Pickens,8/31/2023,33.0
30,Prisma Health,Greenville,8/31/2023,29.0
31,Prisma Health,Laurens,8/31/2023,23.0
32,Prisma Health,Greenville,8/31/2023,11.0
33,Prisma Health,Greenville,8/31/2023,10.0
34,Legacy Supply Chain S,"eCrvhiacrele IsIt o(""nLegacy"")",10/29/2023,47.0
35,Thiveworks Administra,"tSivtaet eSweridviec -e sM, LuLltiCple",11/30/2023,5.0
36,Wells Fargo,Richland,6/30/2024,525.0
37,First Savings Bank,Statewide - Multiple,11/30/2023,1.0
38,Ryder Integrated Logist,"iGcsre, eInncv i(l""leRyder"")",12/31/2023,185.0
39,"Cummins, Inc.",Charleston,12/15/2023 - 07/31/2024,72.0
40,"Rice Industries, LLC",Darlington,12/15/2023,7.0
41,Innovative Fibers,Spartanburg,12/17/2023,71.0
42,"DSV Solutions, LLC",Laurens,3/4/2022,117.0
43,Boyd Corporation,Cherokee,3/15/2022,34.0
44,Alorica Inc.,Greenville,3/25/2022,174.0
45,Utility Partners ofAmerica,Greenville,4/1/2022,70.0
46,Belk FulfillmentCenter,Union,4/30/2022,310.0
47,Borden Dairy,Charleston,5/31/2022,177.0
48,Alorica Inc.,Greenville,6/18/2022,12.0
49,Startek,Horry,5/29/2022,161.0
50,Avara PharmaceuticalServices,Aiken,7/18/2022,93.0
51,FirstBank/Real Genius,Richland,7/15/2022,35.0
52,Sodexo,Charleston,7/31/2022,137.0
53,Sodexo,Charleston,7/31/2022,63.0
54,Sodexo,Charleston,7/31/2022,70.0
55,CEVA Logistics,Chesterfield,8/6/2022,131.0
56,AeroPure LLC,Berkeley,8/15/2022,2.0
57,"HireRight, Inc.",Lexington,9/1/2022,57.0
58,WatsonvilleCommunity Hospital,Richland,8/30/2022,2.0
59,"(NFI) NationalDistribution Centers,LLC",York,9/16/2022,5.0
60,Santa CruzNutritionals,Sumter,8/1/2022,155.0
61,"CommunicationService for the Deaf,Inc.",Richland,9/30/2022,95.0
62,DHL Supply Chain,Greenville,11/4/2022,250.0
63,"U.S, Patriot Tactical(Galls, LLC)",Richland,10/28/2022,74.0
64,BayFirst Financial,York,11/25/2022,1.0
65,"PreZero US Services,LLC.",Oconee,1/19/2023,57.0
66,Santa CruzNutritionals,Sumter,12/31/2022,170.0
67,WB Frozen US LLC(Weston Foods USLLC),Cherokee,12/4/2022,204.0
68,Kohler Co. - VitreousOperations,Spartanburg,12/12/2022,133.0
69,Lake City CommunityHospital,Florence,12/31/2022,222.0
70,Color-Fi (GissingNorth America),Sumter,10/28/2022,108.0
71,Southeast ServiceCoporation (SSCService Solutions),Charleston,12/31/2022,178.0
72,Williamsburg RegionalHospital,Williamsburg,1/17/2023,267.0
73,"The Shyft Group, Inc.",Charleston,1/17/2023,71.0
74,Fiber Industries,Darlington,1/29/2023,250.0
75,"ABM Industry Groups,LLC",Pickens,12/31/2022,71.0
76,Kingston Resorts,Myrtle Beach,07/03/2021,94.0
77,Walmart,Columbia,04/09/2021,332.0
78,Cardinal Health,Fort Mill,03/26/2021,29.0
79,"C & S Wholesales, Inc.",Greenville,03/06/2021,93.0
80,"C & S Wholesales, Inc.",Greenville,05/07/2021,366.0
81,Cardinal Health,Fort Mill,04/30/2021,4.0
82,Cardinal Health,Fort Mill,05/21/2021,128.0
83,Marriott,Columbia,03/18/2021,99.0
84,Kobelco ConstructionMachinery,Moore,05/01/2021,102.0
85,Southeast Frozen Foods,Gaston,03/24/2021,73.0
86,Cardinal Health,Fort Mill,06/18/2021,11.0
87,Cardinal Health,Fort Mill,06/30/2021,22.0
88,DAK Americas,Moncks Corner,12/31/2021,200.0
89,"WPM Holdings/WheelPros, LLC’s",York,09/15/2021,121.0
