,company_name,location,notice_date,layoff_date,employees_affected,Notice ID
0,Nyrstar Tennessee Mines - Gordonsville LLC,Smith,2023/10/31,"December 31, 2023",300.0,#202400020
1,"Cygnus Home Services, LLC d/b/a Yelloh","Washington, Madison, Wilson",2023/10/26,"December 15, 2023",23.0,#202400019
2,"Ryman Hospitality Properties, Inc.",Davidson,2023/10/26,"January 1, 2024",124.0,#202400018
3,"Morgan Olson, LLC",Loudon,2023/10/25,"December 22, 2023",290.0,#202400017
4,T-Mobile USA Inc.,Hamilton,2023/10/19,"November 2, 2023",127.0,#202400016
5,First Savings Bank,Davidson and Williamson,2023/10/11,"November 30, 2023",4.0,#202400015
6,Ingram Entertainment Inc.,Rutherford,2023/10/10,"November 13, 2023",63.0,#202400014
7,Silgan Container,Gibson,2023/9/28,"November 27, 2023",21.0,#202400013
8,"Q.E.P. Co., Inc.",Washington,2023/9/25,"November 30, 2023",35.0,#202400012
9,Apex Canvas CO LLC,Loudon,2023/9/22,"September 28, 2023",8.0,#202400011
10,Newell Brands Industries LLC,Bradley,2023/8/24,"December 22, 2023",81.0,#202400010
11,Mose and Garrison Siskin Memorial Foundation Inc. d/b/a Siskin Children's Institute,Hamilton,2023/8/11,"October 3, 2023",66.0,#202400009
12,American Medical Response,Davidson,2023/8/8,"October 2, 2023",72.0,#202400008
13,Eureka Foundry Company,Hamilton,2023/7/31,"September 29, 2023",41.0,#202400007
14,Red Stag Fulfillment,Knox,2023/7/31,"February 28, 2024",185.0,#202400006
15,Valu Merchandisers Company,Shelby,2023/7/31,"October 1, 2023",60.0,#202400005
16,Hussian College,Montgomery,2023/7/20,"June 9, 2023",59.0,#202400004
17,American Physician Partners,Williamson,2023/7/18,"July 31, 2023",180.0,#202400003
18,Manchester Tank & Equipment Co.,Cumberland,2023/7/11,"September 8, 2023",59.0,#202400002
19,"AKI, Inc. d/b/a Arcade Beauty",Hamilton,2023/7/6,"August 31, 2023",84.0,#202400001
20,Puritan Medical Products,Robertson,2023/6/29,"June 28, 2023",74.0,#202300031
21,Essendant Co.,Shelby,2023/6/29,"August 14, 2023",70.0,#202300030
22,"Shaw Industries Group, Inc.",Meigs,2023/6/28,"August 29, 2023",336.0,#202300029
23,Truist Bank,Davidson,2023/6/27,"July 30, 2023",76.0,#202300028
24,"401 FOOD LLC, dba Merchants Restaurant",Davidson,2023/6/27,"June 4, 2023",96.0,#202300027
25,"Q.E.P. Co., Inc.",Washington,2023/6/6,"August 9, 2023",87.0,#202300026
26,"Fortitude Life and Annuity Solutions, Inc.",Davidson,2023/6/2,"July 31, 2023; September 30, 2023; December 31, 2023",200.0,#202300025
27,National Copper and Smelting Co.,Giles,2023/5/31,"July 24, 2023",56.0,#202300024
28,Hard Rock Cafe International,Shelby,2023/5/31,"July 30, 2023",52.0,#202300023
29,"Packers Sanitation Services, Inc.",Davidson,2023/5/31,"July 11, 2023",71.0,#202300022
30,"Aspiration Partners, Inc.",Davidson,2023/5/31,"June 30, 2023 – September 30, 2023",5.0,#202300021
31,"JCF Housements Manufacturing, LLC",Lincoln,2023/5/30,"May 17, 2023",79.0,#202300020
32,"Lyft, Inc.",Davidson,2023/5/30,"April 28, 2023",133.0,#202300019
33,"rgb(255,255,255);"" target=""_blank"" title=""SRG Global Coatings LLC"">SRG Global Coatings LLC",Lauderdale,2023/5/30,"June 30, 2023 – August 13, 2023",138.0,#202300018
34,"David’s Bridal, LLC","Williamson, Shelby, Knox, Davidson, Hamilton, Washington, Rutherford",2023/5/30,"June 12, 2023 – August 11, 2023",206.0,#202300017
35,Grupo Antolin,Hamilton,2023/5/30,"May 19, 2023",68.0,#202300016
36,"The Delfield Company, LLC",Tipton,2023/4/8,"April 6, 2023",197.0,#202300015
37,TA Travel Centers of America,Davidson,2023/4/6,"March 31, 2023 – April 29, 2023",54.0,#202300014
38,KIPP Memphis Academy Middle School,Shelby,2023/4/5,"June 1, 2023",40.0,#202300013
39,"National Seating & Mobility, Inc.",Hamilton,2023/3/2,"March 23, 2023 – July 28, 2023",108.0,#202300012
40,American Car Center,Shelby,2023/2/27,"February 24, 2023",288.0,#02300011
41,CEVA Logistics,Wilson,2023/2/22,"April 22, 2023",142.0,#202300010
42,Befesa Zinc US Inc.,Roane,2023/2/10,"April 8, 2023",50.0,#202300009
43,"American Snuff Company, LLC",Shelby,2023/2/9,"December 1, 2023",132.0,#202300008
44,ThyssenKrupp,Hamilton,2023/2/8,"May 6, 2023 – May 20, 2023",156.0,#202300007
45,"rgb(255,255,255);"" target=""_blank"" title=""National Pen"">National Pen",Bedford,2023/2/8,"March 30, 2023 – May 31, 2023",67.0,#202300006
46,Alba Health,Roane,2022/12/21,"January 2, 2023 – March 31, 2023",121.0,#202300005
47,ABM Educational Services Inc.,Davidson,2022/12/21,"December 31, 2022",80.0,#202300004
48,Beiersdorf Manufacturing LLC,Bradley,2022/12/15,"January 31, 2023 – April 1, 2023",140.0,#202300003
49,Sodexo Inc.,Hamilton,2022/9/14,"November 8, 2022",74.0,#202300002
50,"Hardwick Tactical Corporation and Puerto Rico Industries For the Blind, Corp.",Bradley,2022/8/29,"September 30, 2022 – October 17, 2022",129.0,#202300001
51,Hawker Powersource,Hamilton,2022/8/11,"August 28, 2022",165.0,#202200007
52,"Campos Foods, LLC dba Georges Prepared Foods",Campbell,2022/8/5,"September 2, 2022",237.0,#202200006
53,Compass Groups USA Inc. dba Chartwells,Montgomery,2022/4/27,"June 30, 2022",119.0,#202200005
54,Mity-Lite,Lawrence,2022/4/22,"December 31, 2022",54.0,#202200004
55,"Waupaca Foundry, Inc.",McMinn,2022/4/20,"June 14, 2022",540.0,#202200003
56,Navistar Inc.,Knox,2022/3/28,"May 20, 2022",79.0,#20220002
57,"FedEx Supply Chain, Inc.",Sumner,2022/2/8,"April 4, 2022",65.0,#202200001
58,Resolute Forest Products,McMinn,2021/12/17,"February 15, 2022",350.0,#202100026
59,Central Freight Lines Inc.,Wilson,2021/12/15,"December 13, 2021",66.0,#202100025
60,"DFA Dairy Brands Fluid, LLC",Davidson,2021/12/14,"February 11, 2022",103.0,#202100024
61,"ZF Friedrichshafen AG, Commercial Vehicle Technology",Wilson,2021/12/7,"February 3, 2022",237.0,#202100023
62,Tennier Industries Inc,Scott,2021/10/15,"October 14, 2021",85.0,#202100022
63,Tennier Industries Inc Waynesboro,Wayne,2021/10/14,"December 16, 2021",66.0,#202100021
64,Ervin Express LLC,Wilson,2021/9/21,"September 30, 2021",32.0,#202100020
65,John W McDougall Company Inc.,Davidson,2021/9/21,"November 16, 2021",51.0,#202100019
66,Cummins Inc.,Shelby,2021/8/27,"August 20, 2021",221.0,#202100018
67,Regis Corp,Hamilton,2021/8/17,October 2021,31.0,#202100017
68,Conagra Brands Inc,Cocke,2021/8/17,"October 1, 2021",320.0,#202100016
69,GlaxoSmithKline LLC-Memphis Site,Shelby,2021/7/6,"June 30, 2021",156.0,#202100015
70,"ABM Aviation, Inc.",Davidson,2021/6/17,"June 30, 2021",90.0,#202100014
71,"Aramark Facility Services, LLC",Shelby,2021/5/10,"May 31, 2021",139.0,#202100012
72,"Tecumseh Products Company, LLC",Henry,2021/4/30,"June 30, 2021",51.0,#202100010
73,Kepro,Davidson,2021/4/13,"July 12, 2021",85.0,#202100009
74,Lear Corporation,Hamblen,2021/3/19,"April 19, 2021",143.0,#202100008
75,Service Master,Shelby,2021/3/12,"April 30, 2021",124.0,#202100007
76,American Stairways,Shelby,2021/3/12,"March 12, 2021",32.0,#202100006
77,"Help At Home, LLC",Knox,2021/1/29,"March 31, 2021",107.0,#202100003
78,"Beiersdorf, LLC",Bradley,2021/1/29,"March 31, 2021",134.0,#20210002
79,Marriott Nashville Airport 2,Davidson,2021/1/4,"March 1, 2021",182.0,#202000282
80,Southwest Airlines,Davidson,2020/12/18,"March 15, 2021",11.0,#202000281
81,Perry Community Hospital,Perry,2020/12/8,"November 27, 2020",28.0,#202000280
82,Bates Rubber #2,Perry,2020/11/21,"January 25, 2021",92.0,#202000279
83,ABM Industry Groups,Putnam,2020/11/20,"December 31, 2020",87.0,#202000278
84,National Express,Shelby,2020/11/20,"start of layoff - March 13, 2020",489.0,#202000277
85,Bridge Connector,Davidson,2020/11/13,"December 31, 2020",154.0,#202000276
86,ABB Inc.,Hamblen,2020/11/4,"December 31, 2020",31.0,#202000275
87,CoreCivic,Hamilton,2020/10/29,"December 30, 2020",128.0,#202000274
88,Regal Cinemas 2,Knox,2020/10/21,"October 8, 2020",202.0,#202000273
89,LP North Nashville,Davidson,2020/10/20,"December 15-30, 2020",170.0,#202000272
90,Harriman Care and Rehabilitation Center,Roane,2020/10/9,"December 4, 2020",75.0,#202000271
91,SSA Group LLC,Davidson,2020/10/9,"March 29, 2020",23.0,#202000270
92,Shutterfly 2,Hamilton,2020/10/7,"December 31, 2020",51.0,#202000269
93,iQor Global Services 3,Shelby,2020/10/6,"November 27, 2020",130.0,#202000268
94,ABM Inc.,Davidson,2020/10/6,"October 4, 2020",57.0,#202000267
95,Dave & Buster's,Davidson,2020/10/6,"November 8, 2020",108.0,#202000266
96,Omni Nashville Hotel,Davidson,2020/10/5,"March 18, 2020",662.0,#202000265
97,Airport Management Services and Hudson Group,Davidson,2020/9/9,"October 1, 2020",19.0,#202000264
98,Avis Budget Group,"Davidson, Hamilton, and Shelby",2020/9/8,"September 4, 2020",24.0,#202000263
99,Marriott Nashville,Davidson,2020/9/2,"August 31, 2020",5.0,#202000262
100,Sodexo,Washington,2020/9/2,"August 15, 2020",94.0,#202000261
101,NP 5th dba AC/Residence Inn/SpringHill Suites Downtown Nashville,Davidson,2020/9/1,"August 28, 2020",72.0,#202000260
102,Sheraton Grand Nashville #2,Davidson,2020/8/31,"August 19, 2020",121.0,#202000259
103,Dura Automotive (DUS Operating),Gibson,2020/8/31,"October 1, 2020",43.0,#202000257
104,Peabody Hotel Group,Shelby,2020/8/31,"August 28, 2020",57.0,#202000258
105,Kroger Limited Partnership I #418,Tipton,2020/8/27,"October 31, 2020",80.0,#202000256
106,HMSHost North America,"Blount, Davidson, and Shelby",2020/8/17,"October 16, 2020",260.0,#202000255
107,Castlerock Hospitality - Bobby Hotel,Davidson,2020/8/17,"March13, 2020",95.0,#202000254
108,Neopharma Tennessee LLC dba Neopharma Inc.,Sullivan,2020/8/17,"August 10, 2020",43.0,#202000253
109,Tip Top Tux LLC,Shelby,2020/8/14,"October 17, 2020",56.0,#202000252
110,United Methodist Publishing House,Davidson,2020/8/12,"June 13, 2020",93.0,#202000251
111,Cooper Standard,Hawkins,2020/8/11,"October 20, 2020",86.0,#202000250
112,Domtar Paper Company,Sullivan,2020/8/11,"October 8, 2020",308.0,#202000249
113,Westin Nashville,Davidson,2020/8/10,"March 12, 2020",210.0,#202000247
