,company_name,location,notice_date,layoff_date,employees_affected,Recieved Date
0,PVA Downtown,San Antonio,2023-10-31 00:00:00,2023-12-04 00:00:00,20.0,2023-10-31 00:00:00
1,PVA Medical Center,San Antonio,2023-10-31 00:00:00,2023-12-04 00:00:00,10.0,2023-10-31 00:00:00
2,Builders FirstSource (Grandview),Grandview,2023-10-31 00:00:00,2023-12-30 00:00:00,76.0,2023-10-31 00:00:00
3,Cygnus Home Service LLC. (Abilene),Abilene,2023-10-26 00:00:00,2023-12-15 00:00:00,5.0,2023-10-26 00:00:00
4,Cygnus Home Service LLC (Alvin),Alvin,2023-10-26 00:00:00,2023-12-15 00:00:00,6.0,2023-10-26 00:00:00
5,Cygnus Home Service LLC. (Conroe),Conroe,2023-10-26 00:00:00,2023-12-15 00:00:00,9.0,2023-10-26 00:00:00
6,Cygnus Home Service LLC. (Houston),Houston,2023-10-26 00:00:00,2023-12-15 00:00:00,13.0,2023-10-26 00:00:00
7,Cygnus Home Services LLC. (Lubbock),Lubbock,2023-10-26 00:00:00,2023-12-15 00:00:00,8.0,2023-10-26 00:00:00
8,Cygnus Home Services LLC. (Mt. Pleasant),Mt Pleasant,2023-10-26 00:00:00,2023-12-15 00:00:00,10.0,2023-10-26 00:00:00
9,Cygnus Home Services LLC. (Nacogdoches),Nacogdoches,2023-10-26 00:00:00,2023-12-15 00:00:00,8.0,2023-10-26 00:00:00
10,Cygnus Home Services LLC. (Odessa),Odessa,2023-10-26 00:00:00,2023-10-26 00:00:00,8.0,2023-10-26 00:00:00
11,Cygnus Home Services LLC. (Pampa),Pampa,2023-10-26 00:00:00,2023-12-15 00:00:00,7.0,2023-10-26 00:00:00
12,Cygnus Home Services LLC. (Round Rock),Round Rock,2023-10-26 00:00:00,2023-10-26 00:00:00,11.0,2023-10-26 00:00:00
13,Cygnus Home Services LLC. (San Angelo),San Angelo,2023-10-26 00:00:00,2023-12-15 00:00:00,5.0,2023-10-26 00:00:00
