,company_name,location,notice_date,layoff_date,employees_affected,Closure or Layoff,Type of Layoff
0,Americal Medical Response Moses Lake,Moses Lake,11/1/2023,1/2/2024,17,Closure,Permanent
1,Convoy Inc.,"Seattle, WA",10/24/2023,10/19/2023,533,Closure,Permanent
2,Magnum Venus Products,Kent,10/23/2023,12/30/2023,47,Closure,Permanent
3,HMSHost,Seattle,10/20/2023,12/31/2023,65,Layoff,Permanent
4,"Crothall Healthcare, Inc.",Seattle,10/13/2023,12/14/2023,41,Layoff,Permanent
5,"Flexport, Inc.",Bellevue,10/13/2023,10/13/2023,165,Layoff,Permanent
6,"Cygnus Home Service, LLC, d/b/a Yelloh",Various locations in Washington,10/9/2023,10/20/2023,58,Closure,Permanent
7,"Epic Games, Inc.",Bellevue,10/5/2023,10/2/2023,39,Layoff,Permanent
8,"Hard Rock International (USA), Inc.",Seattle,10/2/2023,12/1/2023,66,Closure,Permanent
9,Target,Seattle,9/28/2023,12/30/2023,39,Closure,Permanent
10,Target,Seattle,9/28/2023,12/30/2023,51,Closure,Permanent
11,"American Nursery Services, Inc.",Statewide,9/28/2023,12/31/2023,45,Closure,Permanent
12,"Flexe, Inc.",Seattle,9/26/2023,11/27/2023,131,Layoff,Permanent
13,WestRock Company,Tacoma,9/13/2023,9/30/2023,408,Closure,Permanent
14,"Divvy Homes, Inc.",King County,9/8/2023,11/7/2023,4,Layoff,Permanent
15,"SkyKick, Inc.",Seattle,8/30/2023,10/31/2023,181,Layoff,Permanent
16,"Agilent Technologies, Inc.",Kirkland,8/28/2023,10/31/2023,64,Closure,Permanent
17,"T-Mobile USA, Inc.",Bellevue,8/25/2023,10/24/2023,401,Layoff,Permanent
18,"Crothall Healthcare, Inc.",Seattle,8/22/2023,10/20/2023,174,Layoff,Permanent
19,"ImmunityBio, Inc.",San Juan County,8/21/2023,10/17/2023,1,Layoff,Permanent
20,Cognizant Technology Solutions U.S. Corporation,Bothell,8/17/2023,9/29/2023,93,Layoff,Permanent
21,Yellow Corporation,"Everett, Seattle, Tacoma, E. Wenatchee, Union Gap, Pasco, Spokane",8/14/2023,7/30/2023,437,Closure,Permanent
22,"Centerra, a Constellis Company","Seattle, Tacoma, Yakima, Spokane, Richland",8/11/2023,9/30/2023,92,Layoff,Permanent
23,"KeHE Distributors, Inc",Statewide,8/7/2023,10/6/2023,42,Layoff,Permanent
24,"Columbia Valley Fruit, LLC",Union Gap,7/31/2023,9/28/2023,131,Closure,Permanent
25,"Universal Protection Service, LP d/b/a Allied Universal Security Services",Redmond,7/17/2023,10/5/2023,71,Layoff,Permanent
26,Microsoft,Redmond and Bellevue,7/10/2023,9/8/2023,276,Layoff,Permanent
27,"Dawn Food Products, Inc.",Seattle,7/5/2023,9/1/2023,55,Closure,Permanent
28,"Aramark Campus, LLC",Bellingham,6/28/2023,8/31/2023,386,Layoff,Permanent
29,"BWRD, LLC (Stria)",King County,6/15/2023,6/14/2023,1,Layoff,Permanent
30,"Bitwise Industries, Inc.","Island, King, Spokane, Okanogan Counties",6/14/2023,6/14/2023,4,Layoff,Permanent
31,Los Angeles Times Communications LLC,Seattle,6/9/2023,8/14/2023,1,Layoff,Permanent
