,company_name,location,notice_date,layoff_date,employees_affected
Regal Beloit America Inc.,Clinton,59,CL,Speed Changer Drive & Gear Mfg,12/2/2019
Regal Beloit America Inc. - Revision 1,Clinton,57,AW,Speed Changer Drive & Gear Mfg,01/11/2020
Regal Beloit America Inc. - Revision 2,Clinton,56,"AW, LS",Speed Changer Drive & Gear Mfg,03/13/2020
Regal Beloit America Inc. - Revision 3,Clinton,56,LS,Speed Changer Drive & Gear Mfg,05/13/2020
Regal Beloit America Inc. - Revision 4,Clinton,56,LS,Speed Changer Drive & Gear Mfg,06/02/2020
"Alorica, Inc.",Green Bay,157,CL,Telemarketing & Other Contact Centers,12/13/2019
Chancery Pub and Restaurant,Kenosha,77,CL,Full Service Restaurant,11/4/2019
CFS Brands,Sparta,83,CL,Broom Brush & Mop Mfg,11/12/2019
Cerner Corporation,Beloit,1,WR,Computer & Software Merch Whls,11/13/2019
Kohler Co.,Kohler,90,WR,Misc Fabricated Metal Product Mfg,11/15/2019
Kohler Co. - Revision 1,Kohler,75,"AW, LS",Misc Fabricated Metal Product Mfg,04/23/2020
"Transform KM, LLC",Kenosha,70,CL,Department Stores,11/19/2019
JB Milwaukee Healthcare,Milwaukee,120,CL,Nursing Care Facilities (Skilled Nursing),11/21/2019
Dycora Transitional Health - Colonial Manor,Glendale,66,CL,Nursing Care Facilities (Skilled Nursing),11/22/2019
"Olameter DPG, LLC",Oak Creek,70,CL,All Other Support Services,11/27/2019
"TGI Friday's Inc./Milwaukee Front Row Joint Venture, LLC.",Milwaukee,86,CL,Snack & Nonalcoholic Beverage Bars,10/9/2019
Multi-Color Corporation,Green Bay,39,CL,Printing & Writing Paper Merch Whls,10/17/2019
Silgan Containers,Menomonee Falls,22,WR,Metal Can Mfg,10/21/2019
Gardner Pet Group,West Bend,36,CL,Other Animal Food Mfg,10/24/2019
"INNIO Waukesha Gas Engines, Inc.",Waukesha,75,WR,Other Engine Equip Mfg,10/28/2019
