employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Yellow Corporation,"Aug 01, 2023",0,WARN,Phoenix,85043,5 - ARIZONA@WORK City of Phoenix,"2021 South 51st Ave; Phoenix, Arizona 85043",723,https://www.azjobconnection.gov/search/warn_lookups/723
OLDE TOWN GRILL,"Aug 04, 2023",18,Non-WARN,Winslow,86047,2002 - ARIZONA@WORK Northeastern Arizona,"108 E 2nd St; Winslow, Arizona 86047",724,https://www.azjobconnection.gov/search/warn_lookups/724
"LECLERC FOODS NUTRITION ARIZONA, LLC","Oct 04, 2023",93,WARN,Phoenix,,5 - ARIZONA@WORK City of Phoenix,"440 51st Ave; Phoenix, Québec 00000",742,https://www.azjobconnection.gov/search/warn_lookups/742
Centerra,"Aug 11, 2023",,WARN,Multiple,00000,5 - ARIZONA@WORK City of Phoenix,,725,https://www.azjobconnection.gov/search/warn_lookups/725
Mediterra Bakery,"Aug 17, 2023",20,Non-WARN,Coolidge,85128,2003 - ARIZONA@WORK Pinal County,"226 S Main Street; Coolidge, Arizona 85128",726,https://www.azjobconnection.gov/search/warn_lookups/726
"ImmunityBio, Inc.","Aug 21, 2023",1,WARN,El Segundo,90245,5 - ARIZONA@WORK City of Phoenix,"2040 E. Mariposa Avenue; El Segundo, California 90245",729,https://www.azjobconnection.gov/search/warn_lookups/729
Nature's Medicines,"Aug 08, 2023",18,Non-WARN,Show Low,85901,2002 - ARIZONA@WORK Northeastern Arizona,"3191 S White Mountain Rd; Show Low, Arizona 85901",728,https://www.azjobconnection.gov/search/warn_lookups/728
Transdev Services,"Oct 20, 2023",829,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,"2050 W Rio Salado Parkway; Tempe, Arizona 85281",744,https://www.azjobconnection.gov/search/warn_lookups/744
La Fonda Restaurant,"Oct 23, 2023",20,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"1095 S. 3rd Ave; Yuma, Arizona 85364",745,https://www.azjobconnection.gov/search/warn_lookups/745
"COR Restaurant Services, LLC","Feb 02, 2023",130,WARN,Surprise,85374,7 - ARIZONA@WORK Maricopa County,"13725 W Bell Rd; Surprise, Arizona 85374",687,https://www.azjobconnection.gov/search/warn_lookups/687
ttec,"Jan 09, 2023",,WARN,Phoenix,85053,5 - ARIZONA@WORK City of Phoenix,,680,https://www.azjobconnection.gov/search/warn_lookups/680
