employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Case New Holland,"Jan 03, 2023",60,Non-WARN,Wichita,67215,4 - Workforce Investment Area IV,"3301 S. Hoover Rd. ; Wichita, Kansas 67215",2181,https://www.kansasworks.com/search/warn_lookups/2181
AGI Suretrack LLC (AGI),"Jan 11, 2023",73,WARN,Leawood,66211,3 - Workforce Investment Area III,"4001 W 114th Street; Leawood, Kansas 66211",2182,https://www.kansasworks.com/search/warn_lookups/2182
John Deere,"Jan 24, 2023",29,WARN,Coffeyville,67337,5 - Workforce Investment Area V,"2624 N. US Hwy 169; Coffeyville, Kansas 67337",2183,https://www.kansasworks.com/search/warn_lookups/2183
Tom Sawyer Bicycle Shop,"Jan 16, 2023",3,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",2185,https://www.kansasworks.com/search/warn_lookups/2185
NetApp,"Jan 31, 2023",,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,,2184,https://www.kansasworks.com/search/warn_lookups/2184
HealthHelp,"Jan 23, 2023",,WARN,Houston,77060,1 - Workforce Investment Area I,,2186,https://www.kansasworks.com/search/warn_lookups/2186
Hutchinson Regional Medical Center,"Feb 13, 2023",85,Non-WARN,Hutchinson,67502,1 - Workforce Investment Area I,"1701 E. 23rd; Hutchinson, Kansas 67502",2187,https://www.kansasworks.com/search/warn_lookups/2187
Sonoco Products,"Mar 06, 2023",116,WARN,Hutchinson,67501,1 - Workforce Investment Area I,"100 N. Halstead; Hutchinson, Kansas 67501",2188,https://www.kansasworks.com/search/warn_lookups/2188
Durham School Services,"Mar 22, 2023",69,WARN,Andover,67002,4 - Workforce Investment Area IV,"222 East King Street; Andover, Kansas 67002",2189,https://www.kansasworks.com/search/warn_lookups/2189
Amazon Air Hub,"Mar 30, 2023",,Non-WARN,Wichita,67209,4 - Workforce Investment Area IV,,2190,https://www.kansasworks.com/search/warn_lookups/2190
Bed Bath & Beyond,"Feb 09, 2023",15,Non-WARN,Wichita,67205,4 - Workforce Investment Area IV,"2441 N. Maize Rd.; Wichita, Kansas 67205",2191,https://www.kansasworks.com/search/warn_lookups/2191
Ferguson Enterprises,"Feb 14, 2023",600,Non-WARN,Wichita,67226,4 - Workforce Investment Area IV,"1210 E. Douglas; Wichita, Kansas 67226",2192,https://www.kansasworks.com/search/warn_lookups/2192
Sonoco,"Mar 03, 2023",116,WARN,Hutchinson,67501,1 - Workforce Investment Area I,"100 N. Halstead; Hutchinson, Kansas 67501",2193,https://www.kansasworks.com/search/warn_lookups/2193
"Husky Liners, Inc","Apr 17, 2023",,WARN,Wichita,67219,4 - Workforce Investment Area IV,,2194,https://www.kansasworks.com/search/warn_lookups/2194
"Husky Liners, Inc","Apr 17, 2023",89,WARN,Winfield,67156,4 - Workforce Investment Area IV,"22425 D Street; Winfield, Kansas 67156",2195,https://www.kansasworks.com/search/warn_lookups/2195
Bed Bath & Beyond,"Apr 25, 2023",18,Non-WARN,Wichita,67226,4 - Workforce Investment Area IV,"2750 N Greenwich Ct; Wichita, Kansas 67226",2196,https://www.kansasworks.com/search/warn_lookups/2196
Buy Buy Baby,"Apr 25, 2023",15,Non-WARN,Wichita,67226,4 - Workforce Investment Area IV,"2756 N Greenwich Ct; Wichita, Kansas 67226",2197,https://www.kansasworks.com/search/warn_lookups/2197
Great Plains Industries- GPI,"May 01, 2023",,Non-WARN,Wichita,67220,4 - Workforce Investment Area IV,,2199,https://www.kansasworks.com/search/warn_lookups/2199
Walmart,"May 03, 2023",106,WARN,Overland Park,66212,3 - Workforce Investment Area III,"10303Metcalf Avenue; Overland Park, Kansas 66212",2200,https://www.kansasworks.com/search/warn_lookups/2200
"Compass Group USA, Inc.","May 04, 2023",121,WARN,Hays,67601,1 - Workforce Investment Area I,"600 Park Street; Hays, Kansas 67601",2201,https://www.kansasworks.com/search/warn_lookups/2201
